Gene ID,gene_name,gene_product,"B1-MG data, non-normalized",,,"B1-MG data, normalized",,,"MG-SG data, non-normalized",,,"MG-SG data, normalized",,,"SG-B2 data, non-normalized",,,"SG-B2 data, normalized",,,"SG-B2 data, normalized, BS fitness-corrected",,,"Blood stage fitness data (Bushell et al., 2017)",,Classified as metabolic?,Metabolic subsystem(s),Go Biological Process (computed),GO Biological Process (curated)
PBANKA_0204200,,"tubulin-specific chaperone a, putative",-0.346,0.213,not reduced,-1.128,0.260,no power,0.559,0.196,not reduced,-0.186,0.241,not reduced,0.341,0.119,not reduced,-0.448,0.149,not reduced,-0.398,0.224,not reduced,0.959,Dispensable,,, , 
PBANKA_1328900,,"potassium channel, putative",0.222,0.160,not reduced,-0.055,0.222,not reduced,0.369,0.133,not reduced,0.270,0.180,not reduced,0.233,0.165,not reduced,0.043,0.228,not reduced,0.262,0.312,not reduced,0.947,Dispensable,,, , 
PBANKA_0309800,,"Leu/Phe-tRNA protein transferase, putative",0.196,1.669,no power,-0.019,1.877,no power,-2.084,2.614,no power,-2.143,2.798,no power,-0.081,3.212,no power,-0.267,3.391,no power,0.740,3.399,no power,0.793,Slow,,, , 
PBANKA_0407200,YVH1,dual specificity protein phosphatase,0.032,1.026,no power,-2.327,1.355,no power,-0.184,0.661,no power,-0.192,0.850,no power,1.698,0.494,not reduced,0.000,0.635,no power,4.390,0.936,not reduced,0.363,Slow,,, , 
PBANKA_1441600,ATX3,"ataxin-3, putative",-0.246,1.024,no power,-0.654,1.040,no power,0.068,1.006,no power,-0.140,1.023,no power,0.296,0.844,no power,-0.078,0.873,no power,0.872,1.001,no power,0.803,Dispensable,,, , 
PBANKA_0416800,,"ubiquitin specific protease, putative",-0.898,0.071,no power,-1.258,0.088,reduced,-0.307,0.087,not reduced,-0.775,0.110,not reduced,-0.482,0.138,not reduced,-1.311,0.169,no power,-1.389,0.194,reduced,1.005,Dispensable,,, , 
PBANKA_1242000,USP14,"ubiquitin carboxyl-terminal hydrolase 14, putative",0.463,0.131,not reduced,-0.326,0.153,not reduced,0.000,0.114,not reduced,-0.408,0.137,not reduced,0.009,0.101,not reduced,-0.760,0.126,no power,-0.248,0.372,not reduced,0.867,Dispensable,,, , 
PBANKA_1231500,,"ubiquitin carboxyl-terminal hydrolase 2, putative",-0.209,0.224,not reduced,-0.969,0.268,no power,-0.699,0.299,no power,-1.537,0.354,no power,0.085,0.307,not reduced,-0.934,0.341,no power,-0.124,0.410,not reduced,0.829,Slow,,, , 
PBANKA_0616100,,"prefoldin subunit 3, putative",-0.683,0.238,no power,-1.374,0.255,no power,-0.849,0.250,no power,-1.219,0.270,no power,0.671,0.391,not reduced,-0.376,0.425,no power,0.321,0.505,not reduced,0.747,Slow,,, , 
PBANKA_0920100,,"cochaperone prefoldin complex subunit, putative",-0.404,0.275,not reduced,-1.155,0.320,no power,-0.316,0.373,no power,-1.108,0.420,no power,-7.800,1.013,reduced,-8.652,1.047,reduced,-7.404,1.061,reduced,0.749,Slow,,, , 
PBANKA_0416900,,"prefoldin subunit 4, putative",0.642,0.100,not reduced,0.000,0.115,not reduced,-0.361,0.146,not reduced,-0.755,0.165,no power,-0.282,0.406,no power,-1.355,0.439,no power,-0.975,0.468,no power,0.866,Slow,,, , 
PBANKA_1127800,,"DnaJ protein, putative",-1.651,0.075,reduced,-2.184,0.091,reduced,-0.923,0.093,no power,-1.260,0.110,reduced,-3.333,0.395,reduced,-4.091,0.417,reduced,-3.801,0.447,reduced,0.898,Slow,,, , 
PBANKA_0821000,,"chaperone protein, putative",-0.885,0.223,no power,-1.423,0.242,no power,-0.791,0.317,no power,-1.125,0.335,no power,-4.398,0.510,reduced,-5.078,0.530,reduced,-4.234,0.600,reduced,0.826,Slow,,, , 
PBANKA_1216500,CYP19A,"peptidyl-prolyl cis-trans isomerase, putative",-1.807,0.896,no power,-2.085,0.925,no power,4.752,0.855,not reduced,1.337,0.984,not reduced,-3.250,1.132,no power,-3.575,1.150,reduced,1.335,1.349,no power,0.328,Slow,,, , 
PBANKA_1109800,CYP87,"peptidyl-prolyl cis-trans isomerase, putative",-2.950,2.750,no power,-3.056,2.947,no power,0.332,3.457,no power,0.248,3.637,no power,-0.686,3.631,no power,-0.843,3.806,no power,1.978,3.828,no power,0.521,Slow,,, , 
PBANKA_1225800,CYP24,"peptidyl-prolyl cis-trans isomerase, putative",-0.369,1.024,no power,-0.780,1.040,no power,0.152,1.006,no power,-0.058,1.023,no power,-0.015,0.844,no power,-0.384,0.873,no power,2.766,1.511,not reduced,0.477,Essential,,, , 
PBANKA_1020200,CYP52,"peptidyl-prolyl cis-trans isomerase, putative",0.093,0.050,not reduced,-0.527,0.064,not reduced,-0.136,0.067,not reduced,-0.500,0.086,not reduced,0.651,0.079,not reduced,-0.127,0.103,not reduced,-0.315,0.146,not reduced,1.029,Dispensable,,, , 
PBANKA_0805700,HSP90,"heat shock protein 90, putative",-0.924,3.054,no power,-1.064,3.251,no power,1.388,3.548,no power,1.308,3.728,no power,-1.031,3.665,no power,-1.207,3.841,no power,1.601,3.855,no power,0.523,Slow,,, , 
PBANKA_1426000,CARM1,"histone-arginine methyltransferase CARM1, putative",-0.899,0.223,no power,-1.664,0.248,reduced,-1.502,0.397,no power,-2.026,0.423,reduced,4.779,0.383,not reduced,4.168,0.415,not reduced,4.973,0.446,not reduced,0.844,Slow,,, , 
PBANKA_1018400,PRMT1,"protein arginine N-methyltransferase 1, putative",-2.010,0.131,reduced,-2.814,0.154,reduced,-0.914,0.143,no power,-1.374,0.168,reduced,-0.695,0.208,no power,-1.316,0.231,no power,-0.593,0.321,no power,0.843,Slow,,, , 
PBANKA_1352600,,"serine/threonine protein kinase, putative",-0.045,0.693,no power,-0.132,0.881,no power,0.091,0.660,no power,0.008,0.841,no power,-0.246,0.622,no power,-0.396,0.795,no power,-0.398,0.797,no power,1.001,Dispensable,,, , 
PBANKA_1013300,MAPK1,mitogen-activated protein kinase 1,-0.003,0.633,no power,-0.087,0.820,no power,-0.046,0.587,no power,-0.127,0.766,no power,0.362,0.547,not reduced,0.195,0.719,no power,0.146,0.720,no power,1.011,Dispensable,,, , 
PBANKA_1318000,KIN,"serine/threonine protein kinase KIN, putative",-0.129,0.465,no power,-0.848,0.509,no power,-0.121,0.486,no power,-0.865,0.529,no power,1.093,1.016,not reduced,0.266,1.050,no power,0.437,1.054,no power,0.961,Dispensable,,, , 
PBANKA_1225000,,"serine/threonine protein kinase, FIKK family",0.849,3.054,no power,0.689,3.251,no power,0.448,3.577,no power,0.366,3.757,no power,0.299,3.682,no power,0.133,3.858,no power,5.371,3.887,no power,0.298,Slow,,, , 
PBANKA_0802200,,"serine/threonine protein kinase, putative",-1.242,0.923,no power,-1.636,0.943,no power,1.224,0.907,not reduced,0.829,0.936,no power,3.353,1.050,not reduced,2.496,1.143,not reduced,6.142,1.212,not reduced,0.433,Slow,,, , 
PBANKA_1301500,,"protein kinase, putative",0.721,1.128,no power,-1.617,1.455,no power,-0.184,0.661,no power,-0.192,0.850,no power,1.698,0.494,not reduced,0.000,0.635,no power,7.719,0.763,not reduced,0.168,Slow,,, , 
PBANKA_1126900,PK4,eukaryotic translation initiation factor 2-alpha kinase,-0.241,0.296,not reduced,-1.090,0.330,no power,-1.146,0.340,no power,-1.785,0.372,reduced,-6.393,1.363,reduced,-6.787,1.396,reduced,-5.877,1.427,reduced,0.816,Slow,,, , 
PBANKA_0308500,TKL1,"tyrosine kinase-like protein, putative",0.286,0.178,not reduced,-0.168,0.201,not reduced,-0.377,0.094,not reduced,-0.811,0.112,no power,-1.194,0.142,no power,-1.896,0.162,reduced,-1.924,0.175,reduced,0.992,Dispensable,,, , 
PBANKA_1019800,,"calcium-dependent protein kinase, putative",0.378,0.080,not reduced,-0.300,0.106,not reduced,0.049,0.073,not reduced,-0.370,0.097,not reduced,-1.649,0.173,reduced,-2.288,0.209,reduced,-1.481,0.418,no power,0.848,Dispensable,,, , 
PBANKA_1016200,,"protein kinase, putative",0.601,0.150,not reduced,-0.001,0.176,not reduced,0.049,0.128,not reduced,-0.276,0.151,not reduced,-0.252,0.136,not reduced,-1.028,0.161,no power,-1.393,0.298,no power,0.934,Dispensable,,, , 
PBANKA_1421600,,"calcium/calmodulin-dependent protein kinase, putative",1.012,0.079,not reduced,0.506,0.097,not reduced,0.112,0.058,not reduced,-0.377,0.078,not reduced,-0.148,0.072,not reduced,-0.901,0.095,no power,-0.968,0.113,no power,0.997,Dispensable,,, , 
PBANKA_1413600,,"serine/threonine protein kinase, putative",-0.073,0.054,not reduced,-0.587,0.073,not reduced,0.322,0.057,not reduced,-0.177,0.077,not reduced,0.139,0.056,not reduced,-0.733,0.078,not reduced,-0.878,0.117,no power,1.021,Dispensable,,, , 
PBANKA_0616700,NEK4,NIMA related kinase 4,-0.336,0.050,not reduced,-1.111,0.071,no power,0.104,0.047,not reduced,-0.299,0.070,not reduced,-0.506,0.051,not reduced,-0.953,0.073,no power,-0.842,0.089,no power,0.972,Dispensable,,, , 
PBANKA_0827100,,"protein kinase, putative",-0.188,0.064,not reduced,-0.919,0.085,no power,0.044,0.063,not reduced,-0.352,0.085,not reduced,-0.444,0.086,not reduced,-1.064,0.108,no power,-0.760,0.145,no power,0.933,Dispensable,,, , 
PBANKA_0408200,CDPK3,calcium-dependent protein kinase 3,0.234,0.263,not reduced,-0.534,0.307,no power,0.800,0.257,not reduced,0.044,0.301,not reduced,0.083,0.196,not reduced,-0.568,0.228,no power,-0.591,0.237,no power,1.002,Dispensable,,, , 
PBANKA_1103200,,"protein kinase, putative",-0.002,0.107,not reduced,-0.597,0.140,not reduced,-0.021,0.100,not reduced,-0.580,0.135,not reduced,0.194,0.042,not reduced,-0.541,0.057,not reduced,-0.554,0.114,not reduced,1.010,Dispensable,,, , 
PBANKA_0409400,PKRP,"protein kinase, putative",0.406,0.143,not reduced,-0.431,0.167,not reduced,0.195,0.133,not reduced,-0.319,0.159,not reduced,-0.287,0.200,not reduced,-0.854,0.223,no power,-0.482,0.327,no power,0.912,Dispensable,,, , 
PBANKA_0925500,CDPK6,calcium-dependent protein kinase 6,0.637,0.143,not reduced,-0.191,0.167,not reduced,-0.521,0.131,not reduced,-0.934,0.157,no power,-0.626,0.117,not reduced,-1.390,0.144,reduced,-0.454,0.195,not reduced,0.808,Slow,,, , 
PBANKA_0927000,TKL2,"tyrosine kinase-like protein, putative",0.654,0.078,not reduced,-0.098,0.098,not reduced,0.249,0.078,not reduced,0.026,0.100,not reduced,-1.189,0.178,no power,-1.402,0.226,no power,-0.344,0.610,no power,0.734,Slow,,, , 
PBANKA_1306900,SRPK2,"serine/threonine protein kinase, putative",0.582,0.043,not reduced,0.043,0.059,not reduced,0.335,0.042,not reduced,0.119,0.058,not reduced,0.411,0.086,not reduced,-0.053,0.115,not reduced,0.231,0.161,not reduced,0.940,Dispensable,,, , 
PBANKA_0829600,,"serine/threonine protein kinase, putative",0.490,0.546,not reduced,0.179,0.624,no power,-0.606,0.510,no power,-1.121,0.586,no power,0.590,0.634,not reduced,0.637,0.719,not reduced,0.652,0.722,not reduced,0.996,Dispensable,,, , 
PBANKA_0205800,IK2,"serine/threonine protein kinase, putative",2.314,1.139,not reduced,-0.031,1.466,no power,-0.184,0.661,no power,-0.192,0.850,no power,1.698,0.494,not reduced,0.000,0.635,no power,5.970,1.141,not reduced,0.252,Slow,,, , 
PBANKA_1122700,TKL4,"tyrosine kinase-like protein, putative",1.934,1.139,not reduced,-0.414,1.466,no power,-0.184,0.661,no power,-0.192,0.850,no power,1.698,0.494,not reduced,0.000,0.635,no power,6.455,0.831,not reduced,0.225,Slow,,, , 
PBANKA_0410400,GSK3,glycogen synthase kinase 3,-2.766,0.126,reduced,-3.133,0.142,reduced,-0.043,0.151,not reduced,-0.423,0.173,not reduced,-5.826,0.874,reduced,-6.350,0.896,reduced,-6.585,0.909,reduced,1.056,Dispensable,,, , 
PBANKA_0940100,,"protein kinase, putative",-1.496,0.213,reduced,-2.240,0.260,reduced,0.811,0.196,not reduced,0.038,0.240,not reduced,-1.580,0.312,no power,-2.404,0.362,reduced,-2.351,0.408,reduced,0.995,Dispensable,,, , 
PBANKA_1460500,,"serine/threonine protein kinase, putative",-1.717,0.240,reduced,-2.486,0.285,reduced,1.873,0.209,not reduced,1.102,0.253,not reduced,-2.063,0.364,reduced,-2.749,0.394,reduced,-2.166,0.413,reduced,0.869,Slow,,, , 
PBANKA_1305200,,"serine/threonine protein kinase, putative",-1.495,0.098,reduced,-2.094,0.112,reduced,0.202,0.143,not reduced,-0.176,0.163,not reduced,-1.273,0.207,no power,-2.090,0.241,reduced,-1.968,0.250,reduced,0.976,Dispensable,,, , 
PBANKA_0615200,CDPK4,calcium-dependent protein kinase 4,-2.380,0.084,reduced,-2.903,0.100,reduced,-1.016,0.114,no power,-1.356,0.131,reduced,-0.759,0.239,no power,-1.513,0.263,no power,-0.960,0.287,no power,0.856,Slow,,, , 
PBANKA_0933700,MAPK2,mitogen-activated protein kinase 2,-1.296,0.043,reduced,-1.763,0.057,reduced,0.959,0.043,not reduced,0.431,0.058,not reduced,1.380,0.044,not reduced,-0.158,0.062,not reduced,-0.241,0.072,not reduced,1.016,Dispensable,,, , 
PBANKA_1362100,TKL3,"tyrosine kinase-like protein, putative",-2.288,0.180,reduced,-2.685,0.194,reduced,0.340,0.197,not reduced,-0.029,0.215,not reduced,0.710,0.174,not reduced,0.006,0.205,not reduced,0.138,0.210,not reduced,0.971,Slow,,, , 
PBANKA_0401100,SRPK1,"serine/threonine protein kinase, putative",-5.054,0.933,reduced,-5.912,0.970,reduced,0.550,1.170,no power,0.303,1.198,no power,1.344,1.574,no power,0.869,1.692,no power,2.661,1.700,not reduced,0.662,Slow,,, , 
PBANKA_1463400,,"AP-3 complex subunit sigma, putative",-0.179,3.054,no power,-0.289,3.251,no power,-0.260,3.577,no power,-0.348,3.757,no power,0.284,3.682,no power,0.129,3.858,no power,3.459,3.898,no power,0.463,Slow,,, , 
PBANKA_0804900,,"E3 ubiquitin-protein ligase, putative",-1.955,0.282,reduced,-2.161,0.318,reduced,-0.219,0.198,not reduced,-0.628,0.230,no power,-1.925,0.519,no power,-1.944,0.564,no power,1.067,0.780,not reduced,0.487,Slow,,, , 
PBANKA_0704100,UBE4B,"ubiquitin conjugation factor E4 B, putative",-6.560,0.619,reduced,-7.301,0.640,reduced,-1.783,0.716,no power,-2.192,0.738,no power,1.297,0.832,not reduced,0.614,0.856,no power,3.534,0.982,not reduced,0.508,Slow,,, , 
PBANKA_1309900,LAP,"M17 leucyl aminopeptidase, putative",-0.752,0.742,no power,-1.093,0.778,no power,0.296,0.688,no power,-0.043,0.723,no power,-0.499,0.679,no power,-0.795,0.698,no power,5.200,0.883,not reduced,0.250,Slow,y,Cysteine and methionine metabolism, , 
PBANKA_1002400,DPAP3,"dipeptidyl aminopeptidase 3, putative",-0.798,0.265,no power,-1.546,0.309,no power,1.049,0.245,not reduced,0.249,0.289,not reduced,-5.526,0.998,reduced,-6.349,1.032,reduced,-4.989,1.058,reduced,0.737,Slow,,, , 
PBANKA_0304800,SERA4,serine repeat antigen 4,-1.464,0.240,no power,-1.653,0.278,reduced,1.055,0.122,not reduced,0.635,0.156,not reduced,-5.137,0.820,reduced,-5.345,0.883,reduced,-3.028,1.036,no power,0.595,Slow,,, , 
PBANKA_1131400,MCA1,metacaspase 1,-1.150,0.098,no power,-2.289,0.124,reduced,0.527,0.081,not reduced,0.163,0.104,not reduced,-0.192,0.111,not reduced,-2.058,0.159,reduced,-1.353,0.259,no power,0.863,Dispensable,,, , 
PBANKA_1106900,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.242,0.739,no power,1.008,Dispensable,,, , 
PBANKA_0304700,SERA5,serine repeat antigen 5,-0.046,0.632,no power,-0.776,0.654,no power,-0.224,0.733,no power,-0.630,0.755,no power,1.297,0.831,not reduced,0.614,0.855,no power,0.925,0.885,not reduced,0.930,Dispensable,,, , 
PBANKA_1026500,MCA3,metacaspase-like protein,0.858,3.051,no power,0.709,3.248,no power,-0.125,3.577,no power,-0.208,3.757,no power,-0.061,3.682,no power,-0.220,3.858,no power,1.694,3.888,no power,0.643,Slow,,, , 
PBANKA_1203900,,"DnaJ protein, putative",-1.161,3.051,no power,-1.275,3.248,no power,-0.008,3.577,no power,-0.096,3.757,no power,-0.517,3.682,no power,-0.675,3.858,no power,5.577,3.941,no power,0.236,Essential,,, , 
PBANKA_1460700,DPAP2,dipeptidyl aminopeptidase 2,0.101,0.099,not reduced,-0.253,0.117,not reduced,0.206,0.087,not reduced,-0.263,0.110,not reduced,-1.099,0.138,no power,-1.854,0.166,reduced,-1.871,0.209,reduced,1.013,Dispensable,,, , 
PBANKA_1404100,,"membrane integral peptidase, M50 family, putative",0.369,0.080,not reduced,-0.155,0.097,not reduced,-0.621,0.081,not reduced,-0.955,0.098,no power,-2.180,0.209,reduced,-2.869,0.228,reduced,-1.708,0.268,reduced,0.768,Slow,,, , 
PBANKA_0305100,SERA1,serine repeat antigen 1,0.785,0.112,not reduced,0.043,0.133,not reduced,0.294,0.079,not reduced,-0.005,0.103,not reduced,0.147,0.092,not reduced,-0.683,0.118,not reduced,-1.367,0.264,no power,1.045,Dispensable,,, , 
PBANKA_0517600,,plasmepsin VII,-0.097,0.307,not reduced,-0.398,0.364,no power,0.159,0.288,not reduced,-0.001,0.334,not reduced,-1.184,0.502,no power,-1.341,0.570,no power,-1.299,0.589,no power,0.997,Dispensable,,, , 
PBANKA_0209700,,"zinc-carboxypeptidase, putative",0.288,0.047,not reduced,-0.236,0.063,not reduced,-0.087,0.048,not reduced,-0.429,0.065,not reduced,-0.289,0.046,not reduced,-0.971,0.065,no power,-0.954,0.132,no power,0.986,Dispensable,,, , 
PBANKA_1302300,,metacaspase-like protein,-0.432,0.185,not reduced,-1.034,0.218,no power,0.911,0.170,not reduced,0.355,0.206,not reduced,0.054,0.076,not reduced,-0.697,0.093,not reduced,-0.940,0.202,no power,1.006,Dispensable,,, , 
PBANKA_1213700,METAP1b,"methionine aminopeptidase 1b, putative",0.175,0.160,not reduced,-0.587,0.204,not reduced,0.126,0.135,not reduced,-0.634,0.179,not reduced,0.103,0.122,not reduced,-0.578,0.154,not reduced,-0.584,0.238,no power,0.961,Dispensable,,, , 
PBANKA_1449000,,"aspartyl protease, putative",0.103,0.109,not reduced,-0.324,0.129,not reduced,0.164,0.062,not reduced,-0.300,0.078,not reduced,0.230,0.085,not reduced,-0.483,0.104,not reduced,-0.402,0.228,not reduced,0.988,Dispensable,,, , 
PBANKA_0305000,SERA2,serine repeat antigen 2,0.623,0.055,not reduced,-0.174,0.078,not reduced,0.158,0.056,not reduced,-0.235,0.079,not reduced,0.260,0.066,not reduced,-0.256,0.088,not reduced,-0.215,0.172,not reduced,0.976,Dispensable,,, , 
PBANKA_0833100,M18AAP,"M18 aspartyl aminopeptidase, putative",0.016,0.047,not reduced,-0.446,0.060,not reduced,0.154,0.051,not reduced,-0.390,0.067,not reduced,1.379,0.062,not reduced,-0.167,0.082,not reduced,-0.087,0.172,not reduced,0.993,Dispensable,,, , 
PBANKA_1321700,BP1,berghepain-1,-0.218,0.158,not reduced,-1.349,0.182,no power,-0.068,0.196,not reduced,-0.433,0.219,not reduced,0.929,0.214,not reduced,-0.626,0.260,no power,2.826,0.352,not reduced,0.462,Slow,,, , 
PBANKA_1034400,PM4,plasmepsin IV,-1.539,0.166,reduced,-2.168,0.180,reduced,-2.579,0.289,reduced,-3.049,0.310,reduced,1.151,0.486,not reduced,0.378,0.513,not reduced,2.084,0.514,not reduced,0.674,Slow,,, , 
PBANKA_0832600,,"proteasome subunit beta type-6, putative",0.706,0.251,not reduced,0.528,0.296,not reduced,-0.819,0.086,not reduced,-1.184,0.120,no power,0.868,0.128,not reduced,0.885,0.171,not reduced,1.111,1.235,no power,0.423,Slow,,, , 
PBANKA_1226500,,"proteasome subunit beta type-4, putative",-6.855,1.076,reduced,-7.042,1.111,reduced,0.324,1.153,no power,0.104,1.203,no power,0.364,1.215,no power,0.105,1.323,no power,4.566,1.381,not reduced,0.356,Slow,,, , 
PBANKA_1449800,VP2,"inorganic pyrophosphatase, putative",0.495,0.228,not reduced,-0.289,0.274,not reduced,-0.358,0.195,not reduced,-1.101,0.239,no power,1.942,0.202,not reduced,0.934,0.257,not reduced,1.014,0.329,not reduced,0.964,Dispensable,y,Phosphate metabolism, , 
PBANKA_1320500,VP1,"V-type H(+)-translocating pyrophosphatase, putative",2.314,1.139,not reduced,-0.031,1.466,no power,-0.184,0.661,no power,-0.192,0.850,no power,1.698,0.494,not reduced,0.000,0.635,no power,5.681,0.704,not reduced,0.269,Slow,y,Phosphate metabolism, , 
PBANKA_1111000,,"RNA pseudouridylate synthase, putative",1.705,0.529,not reduced,1.006,0.555,not reduced,-0.756,0.441,no power,-1.231,0.471,no power,-3.007,0.572,reduced,-3.592,0.608,reduced,-3.041,0.664,reduced,0.907,Dispensable,,, , 
PBANKA_0214200,,"tRNA pseudouridine synthase D, putative",0.209,0.052,not reduced,-0.318,0.068,not reduced,-0.058,0.048,not reduced,-0.400,0.066,not reduced,-0.106,0.049,not reduced,-0.788,0.067,not reduced,-0.915,0.170,no power,1.016,Dispensable,,, , 
PBANKA_1039800,,"conserved Plasmodium protein, unknown function",0.366,0.286,not reduced,-0.047,0.386,not reduced,-0.554,0.072,not reduced,-2.177,0.114,reduced,0.028,0.068,not reduced,-0.904,0.095,no power,-0.672,0.251,no power,0.953,Dispensable,,, , 
PBANKA_0315900,,"pseudouridine synthase, putative",0.282,0.040,not reduced,-0.109,0.054,not reduced,0.020,0.049,not reduced,-0.336,0.067,not reduced,-0.051,0.053,not reduced,-0.622,0.072,not reduced,-0.591,0.108,not reduced,0.998,Dispensable,,, , 
PBANKA_0518800,,"tRNA pseudouridine synthase D, putative",-0.144,0.223,not reduced,-0.595,0.256,no power,-0.213,0.105,not reduced,-0.707,0.127,not reduced,0.735,0.292,not reduced,0.078,0.345,not reduced,0.257,0.380,not reduced,0.960,Dispensable,,, , 
PBANKA_1231100,,"tRNA pseudouridine synthase, putative",2.645,0.750,not reduced,2.294,0.780,not reduced,1.815,0.684,not reduced,-1.657,0.831,no power,-3.359,1.119,reduced,-3.681,1.136,reduced,2.576,1.216,not reduced,0.239,Slow,,, , 
PBANKA_0829700,GK,"guanylate kinase, putative",-2.397,0.938,no power,-3.168,0.976,reduced,0.474,1.113,no power,0.232,1.140,no power,-1.775,1.557,no power,-2.218,1.677,no power,1.395,1.763,no power,0.445,Slow,y,Purine metabolism, , 
PBANKA_0513600,ADA,"adenosine deaminase, putative",0.908,0.179,not reduced,0.188,0.225,not reduced,0.008,0.147,not reduced,-0.750,0.191,no power,0.303,0.141,not reduced,-0.582,0.177,not reduced,-0.642,0.240,no power,1.018,Dispensable,y,Purine metabolism, , 
PBANKA_1210800,HGPRT,"hypoxanthine-guanine phosphoribosyltransferase, putative",-0.588,0.295,no power,-1.079,0.350,no power,0.448,0.284,not reduced,0.135,0.360,not reduced,0.524,0.693,not reduced,0.182,0.886,no power,5.817,1.216,not reduced,0.287,Slow,y,Drug metabolism - other enzymes|Purine metabolism, , 
PBANKA_1120200,PDX1,"pyridoxine biosynthesis protein PDX1, putative",0.168,0.231,not reduced,-0.279,0.266,not reduced,0.132,0.125,not reduced,-0.301,0.147,not reduced,0.140,0.330,not reduced,-0.513,0.383,no power,-0.066,0.543,no power,0.905,Dispensable,y,Pyridoxal5P (vit B6) metabolism, , 
PBANKA_1241000,ARF-GAP,"ADP-ribosylation factor GTPase-activating protein, putative",-0.285,1.095,no power,-0.370,1.285,no power,0.175,1.203,no power,0.121,1.391,no power,-0.033,1.315,no power,-0.372,1.520,no power,0.170,1.539,no power,0.878,Dispensable,,, , 
PBANKA_0104300,,"cyclin dependent kinase binding protein, putative",0.463,0.437,not reduced,0.006,0.533,no power,-0.626,0.525,no power,-1.062,0.627,no power,0.593,0.569,not reduced,0.577,0.661,not reduced,0.959,0.705,not reduced,0.914,Dispensable,,, , 
PBANKA_1441400,PCNA2,"proliferating cell nuclear antigen 2, putative",0.321,0.076,not reduced,-0.449,0.098,not reduced,-0.334,0.073,not reduced,-0.699,0.096,not reduced,-2.468,0.156,reduced,-3.017,0.179,reduced,-2.299,0.282,reduced,0.867,Dispensable,,, , 
PBANKA_0109200,SPT5,"transcription elongation factor SPT5, putative",-0.286,0.447,no power,-1.043,0.473,no power,0.210,0.264,not reduced,-0.330,0.293,not reduced,1.891,0.423,not reduced,1.300,0.499,not reduced,2.274,0.609,not reduced,0.742,Slow,,, , 
PBANKA_1232800,,"conserved Plasmodium protein, unknown function",0.368,0.148,not reduced,-0.006,0.169,not reduced,-0.627,0.103,not reduced,-0.986,0.126,no power,0.634,0.124,not reduced,-0.078,0.154,not reduced,-0.508,0.368,no power,1.044,Dispensable,,, , 
PBANKA_0417400,,"GTPase-activating protein, putative",-2.550,0.819,no power,-2.837,0.849,reduced,4.116,0.875,not reduced,0.770,1.001,no power,-2.797,1.159,no power,-3.132,1.176,no power,0.927,1.363,no power,0.393,Slow,,, , 
PBANKA_1106300,,"GTPase-activating protein, putative",-0.952,1.009,no power,-1.356,1.026,no power,0.068,1.006,no power,-0.140,1.023,no power,0.296,0.844,no power,-0.078,0.873,no power,2.241,0.893,not reduced,0.585,Slow,,, , 
PBANKA_1418500,,"TBC domain protein, putative",0.378,0.045,not reduced,-0.006,0.059,not reduced,0.011,0.049,not reduced,-0.347,0.067,not reduced,0.143,0.052,not reduced,-0.421,0.070,not reduced,-0.683,0.196,no power,1.052,Dispensable,,, , 
PBANKA_0808700,,"GTPase-activating protein, putative",2.314,1.139,not reduced,-0.031,1.466,no power,-0.184,0.661,no power,-0.192,0.850,no power,1.698,0.494,not reduced,0.000,0.635,no power,4.798,1.021,not reduced,0.330,Slow,,, , 
PBANKA_1351200,,"conserved Plasmodium protein, unknown function",-0.948,0.161,no power,-1.301,0.191,no power,0.779,0.212,not reduced,-1.632,0.317,no power,-1.743,0.196,reduced,-2.082,0.214,reduced,-2.032,0.293,reduced,0.957,Dispensable,,, , 
PBANKA_0109500,ApiAP2,"transcription factor with AP2 domain(s), putative",-1.616,0.476,no power,-2.273,0.493,reduced,0.414,0.717,no power,0.188,0.733,no power,-2.641,0.661,reduced,-2.901,0.691,reduced,-1.992,0.705,no power,0.812,Slow,,, , 
PBANKA_0905900,AP2-O,transcription factor with AP2 domain(s),-1.195,0.137,no power,-1.954,0.178,reduced,0.028,0.079,not reduced,-0.162,0.112,not reduced,-0.507,0.395,no power,-0.667,0.484,no power,1.626,0.525,not reduced,0.586,Slow,,, , 
PBANKA_0214400,AP2-L,transcription factor with AP2 domain(s),0.894,0.688,not reduced,0.122,0.715,no power,0.734,0.284,not reduced,0.192,0.315,not reduced,-7.695,1.344,reduced,-8.083,1.377,reduced,-6.629,1.427,reduced,0.719,Slow,,, , 
PBANKA_1329800,AP2-Sp,transcription factor with AP2 domain(s),6.485,0.640,not reduced,5.635,0.667,not reduced,-0.325,0.324,not reduced,-0.908,0.360,no power,-3.831,1.572,no power,-4.185,1.607,no power,-2.680,1.638,no power,0.703,Slow,,, , 
PBANKA_0928400,,"conserved Plasmodium protein, unknown function",0.269,0.105,not reduced,0.006,0.132,not reduced,0.269,0.115,not reduced,-1.587,0.186,reduced,-0.521,0.090,not reduced,-0.874,0.108,no power,-0.822,0.296,no power,0.973,Dispensable,,, , 
