feature_symbol,product_description,gene_name,Unique_Core
PBANKA_1350000,"conserved protein, unknown function",null,NA
PBANKA_1350100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1350300,"RanBPM and CLTH-like protein, putative",null,NA
PBANKA_1350350,small nucleolar RNA snoR19,null,NA
PBANKA_1350400,"conserved protein, unknown function",null,NA
PBANKA_1350500,parasitophorous vacuolar protein 3,PV3,NA
PBANKA_1350600,"nuclear movement protein, putative",NUDC,NA
PBANKA_1350700,"tryptophan--tRNA ligase, putative",cTrpRS,NA
PBANKA_1350800,"mitochondrial intermediate peptidase, putative",Oct-01,NA
PBANKA_1350900,protein kinase 6,PK6,NA
PBANKA_1351000,"1-deoxy-D-xylulose 5-phosphate synthase, putative",DXS,NA
PBANKA_1351100,"exoribonuclease, putative",null,NA
PBANKA_1351200,"zinc finger protein, putative",null,NA
PBANKA_1351300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1351351,tRNA Serine,null,NA
PBANKA_1351400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1351600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1351700,"LMBR1 domain-containing protein, putative",null,NA
PBANKA_1351800,"26S proteasome regulatory subunit RPN3, putative",RPN3,NA
PBANKA_1351900,"60S ribosomal protein L6, putative",RPL6,NA
PBANKA_1352000,"elongation factor 1-gamma, putative",EF-1gamma,NA
PBANKA_1352200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1352300,"conserved protein, unknown function",null,NA
PBANKA_1352400,"conserved protein, unknown function",null,NA
PBANKA_1352641:tRNA,tRNA Proline,null,NA
PBANKA_1352700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1352800,"cytochrome c oxidase subunit ApiCOX14, putative",null,NA
PBANKA_1352900,"mitochondrial ribosomal protein L49 precursor, putative",null,NA
PBANKA_1353000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1353100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1353200,"mitotic-spindle organizing protein 1, putative",MZT1,NA
PBANKA_1353300,"ABC transporter B family member 5, putative",ABCB5,NA
PBANKA_1353400,"secreted ookinete protein, putative",PSOP7,NA
PBANKA_1353600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1353700,"nucleolar complex protein 2, putative",null,NA
PBANKA_1354000,"RNA lariat debranching enzyme, putative",DBR1,NA
PBANKA_1354100,"ras-related protein Rab-11B, putative",RAB11b,NA
PBANKA_1354200,"mitochondrial pyruvate carrier protein 1, putative",MPC1,NA
PBANKA_1354300,"sodium-dependent phosphate transporter, putative",PiT,NA
PBANKA_1354380,U6 spliceosomal RNA,null,NA
PBANKA_1354400,"60S ribosomal protein L18, putative",null,NA
PBANKA_1354500,"60S ribosomal protein L18-2, putative",null,NA
PBANKA_1354550,small nucleolar RNA snoR20,null,NA
PBANKA_1354600,"inner membrane complex suture component, putative",ISC1,NA
PBANKA_1354700,"GPI mannosyltransferase 3, putative",GPI10,NA
PBANKA_1355000,"V-type proton ATPase subunit D, putative",null,NA
PBANKA_1355100,"40S ribosomal protein S6, putative",null,NA
PBANKA_1355200,"aconitate hydratase, putative",IRP,NA
PBANKA_1355300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1355500,"casein kinase II beta chain, putative",CK2beta2,NA
PBANKA_1355700,myosin A,MyoA,NA
PBANKA_1355800,"DNA-directed RNA polymerases I, II, and III subunit RPABC4, putative",RPB12,NA
PBANKA_1356000,"AP2 domain transcription factor, putative",ApiAP2,NA
PBANKA_1356200,"tRNA guanosine-2'-O-methyltransferase, putative",null,NA
PBANKA_1356300,"CDT1-like protein, putative",null,NA
PBANKA_1356500,"conserved protein, unknown function",null,NA
PBANKA_1356600,"UDP-N-acetylglucosamine pyrophosphorylase, putative",null,NA
PBANKA_1356700,"kelch protein K13, putative",Kelch13,NA
PBANKA_1356800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1356900,"U4/U6 small nuclear ribonucleoprotein PRP4, putative",PRPF4,NA
PBANKA_1357000,"aminomethyltransferase, putative",null,NA
PBANKA_1357100,"TLD domain-containing protein, putative, pseudogene",null,NA
PBANKA_1357200,"heat shock protein 110, putative",HSP110,NA
PBANKA_1357300,"zinc finger protein, putative",null,NA
PBANKA_1357400,"U6 snRNA phosphodiesterase, putative",USB1,NA
PBANKA_1357500,lipoyl synthase,LipA,NA
PBANKA_1357600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1357700,"aspartate carbamoyltransferase, putative",ATCase,NA
PBANKA_1357800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1358000,thioredoxin 2,TRX2,NA
PBANKA_1358100,rhomboid protease ROM6,ROM6,NA
PBANKA_1358200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1358300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1358400,"ubiquitin-conjugating enzyme E2, putative",null,NA
PBANKA_1358600,"isocitrate dehydrogenase [NADP], mitochondrial, putative",IDH,NA
PBANKA_1358700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1358800,"kinetochore protein SPC25, putative",SPC25,NA
PBANKA_1359000,"protein transport protein SEC61 subunit alpha, putative",SEC61A,NA
PBANKA_1359100,"nuclear import protein MOG1, putative",null,NA
PBANKA_1359200,"DNA/RNA-binding protein Alba 2, putative",ALBA2,NA
PBANKA_1359300,"VPS13 domain-containing protein, putative",null,NA
PBANKA_1359400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1359800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1360000,"DNA topoisomerase 3, putative",TOP3,NA
PBANKA_1360100,nucleoside transporter 1,NT1,NA
PBANKA_1360300,"DNA/RNA-binding protein Alba 4, putative",ALBA4,NA
PBANKA_1360500,ethanolamine-phosphate cytidylyltransferase,ECT,NA
PBANKA_1360600,leucine-rich repeat protein,LRR4.1,NA
PBANKA_1360700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1360800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1360900,"GTPase, putative",null,NA
PBANKA_1361000,"step II splicing factor, putative",null,NA
PBANKA_1361100,"elongation factor Tu, putative",null,NA
PBANKA_1361700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1361900,"nucleoside diphosphate hydrolase, putative",null,NA
PBANKA_1362000,"glutamate--tRNA ligase, putative",null,NA
PBANKA_1362100,"tyrosine kinase-like protein, putative",TKL3,NA
PBANKA_1362200,"cytidine and deoxycytidylate deaminase, putative",null,NA
PBANKA_1362300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1362400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1362500,"peptidase, putative",null,NA
PBANKA_1362600,"GPN-loop GTPase, putative",null,NA
PBANKA_1362700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1362900,"lysine--tRNA ligase, putative",KRS1,NA
PBANKA_1363000,"small nuclear ribonucleoprotein E, putative",SNRPE,NA
PBANKA_1363100,"conserved protein, unknown function",null,NA
PBANKA_1363200,"ubiquitin-activating enzyme E1, putative",null,NA
PBANKA_1363300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1363400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1363500,"N6-adenine-specific methylase, putative",null,NA
PBANKA_1363700,AP2 domain transcription factor AP2-O4,AP2-O4,NA
PBANKA_1363800,"phosphatidylinositol transfer protein, putative",null,NA
PBANKA_1363900,"conserved protein, unknown function",null,NA
PBANKA_1364000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1364100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1364200,"60S ribosomal protein L17, putative",null,NA
PBANKA_1364250,small nucleolar RNA snoR21,null,NA
PBANKA_1364300,"glycerol kinase, putative",null,NA
PBANKA_1364400,"inner membrane complex protein 1f, putative",IMC1f,NA
PBANKA_1364500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1364600,"conserved protein, unknown function",null,NA
PBANKA_1364700,"GTP-binding protein, putative",null,NA
PBANKA_1364800,"ABC transporter B family member 6, putative",ABCB6,NA
PBANKA_1364900,"U3 small nucleolar RNA-associated protein 15, putative",UTP15,NA
PBANKA_1365000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1365100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1365200,"thioredoxin-related protein, putative",null,NA
PBANKA_1365300,"intron-binding protein aquarius, putative",AQR,NA
PBANKA_1365400,"vacuolar fusion protein MON1, putative",MON1,NA
PBANKA_1365500,exported protein IBIS1,IBIS1,NA
PBANKA_1365550,"PIR protein, pseudogene",null,NA
PBANKA_1365600,fam-a protein,null,NA
PBANKA_1365650,"fam-a protein, pseudogene",null,NA
PBANKA_1365680,fam-c protein,null,NA
PBANKA_1365721,"conserved rodent malaria protein, unknown function",null,NA
PBANKA_1400021,PIR protein,null,NA
PBANKA_1400031,"tryptophan-rich antigen, putative, pseudogene",null,NA
PBANKA_1400051,PIR protein,null,NA
PBANKA_1400061,PIR protein,null,NA
PBANKA_1400071,PIR protein,null,NA
PBANKA_1400081,PIR protein,null,NA
PBANKA_1400086,PIR protein,null,NA
PBANKA_1400091,"reticulocyte binding protein, putative",Pb235,NA
PBANKA_1400096,"fam-a protein, pseudogene",null,NA
PBANKA_1400200,PIR protein,null,NA
PBANKA_1400300,PIR protein,null,NA
PBANKA_1400400,fam-b protein,null,NA
PBANKA_1400500,"PIR protein, pseudogene",null,NA
PBANKA_1400600,"cytoadherence linked asexual protein, putative",null,NA
PBANKA_1400700,"Plasmodium exported protein, unknown function",null,NA
PBANKA_1400800,protein UIS3,UIS3,NA
PBANKA_1401000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1401100,"deoxyhypusine hydroxylase, putative",DOHH,NA
PBANKA_1401200,"ATP-dependent RNA helicase DHR1, putative",null,NA
PBANKA_1401300,"40S ribosomal protein S7, putative",null,NA
PBANKA_1401500,"ATP synthase-associated protein, putative",null,NA
PBANKA_1401600,"methyltransferase, putative",null,NA
PBANKA_1401800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1401900,"LisH domain-containing protein, putative",LisH,NA
PBANKA_1402000,"sodium/hydrogen exchanger, putative",null,NA
PBANKA_1402300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1402500,"condensin complex subunit 2, putative",null,NA
PBANKA_1402600,"DNA ligase I, putative",null,NA
PBANKA_1402700,"CorA-like Mg2+ transporter protein, putative",MIT2,NA
PBANKA_1402800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1402900,"PUB domain-containing protein, putative",null,NA
PBANKA_1403000,"small heat shock protein, putative",null,NA
PBANKA_1403100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1403200,"cyclin, putative",null,NA
PBANKA_1403250,small nucleolar RNA snoR16,null,NA
PBANKA_1403300,NLI interacting factor-like phosphatase,NIF1,NA
PBANKA_1403400,"DNA-directed RNA polymerase II subunit RPB11, putative",RPB11,NA
PBANKA_1403500,"MCL1 domain-containing protein, putative",null,NA
PBANKA_1403800,"translational activator GCN1, putative",GCN1,NA
PBANKA_1403900,"AAR2 protein, putative",null,NA
PBANKA_1404100,site-2 protease S2P,S2P,NA
PBANKA_1404200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1404400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1404700,"conserved protein, unknown function",null,NA
PBANKA_1404800,"SAM dependent methyltransferase, putative",null,NA
PBANKA_1404900,"26S protease regulatory subunit 10B, putative",RPT4,NA
PBANKA_1405100,"V-type proton ATPase subunit H, putative",null,NA
PBANKA_1405200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1405300,"RED-like protein, putative",null,NA
PBANKA_1405400,"U1 small nuclear ribonucleoprotein A, putative",SNRPA,NA
PBANKA_1405500,"exosome complex component RRP40, putative",RRP40,NA
PBANKA_1405600,"U3 small nucleolar RNA-associated protein 6, putative",UTP6,NA
PBANKA_1405700,"DnaJ protein, putative",null,NA
PBANKA_1405800,"ATP-dependent RNA helicase DBP6, putative",DBP6,NA
PBANKA_1406000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1406100,"DNA-directed RNA polymerase subunit alpha, putative",null,NA
PBANKA_1406200,"TOM1-like protein, putative",null,NA
PBANKA_1406300,"FHA domain-containing protein, putative",null,NA
PBANKA_1406400,"tripartite motif protein, putative",null,NA
PBANKA_1406500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1406600,"CCAAT-binding transcription factor, putative",null,NA
PBANKA_1406700,"carbamoyl phosphate synthetase, putative",CPSII,NA
PBANKA_1406800,"40S ribosomal protein S27, putative",RPS27,NA
PBANKA_1406900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1407000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1407300,"tyrosine recombinase, putative",INT,NA
PBANKA_1407400,"mRNA-decapping enzyme 2, putative",DCP2,NA
PBANKA_1407600,"60S ribosomal protein L24, putative",null,NA
PBANKA_1407650,unspecified product,null,NA
PBANKA_1407700,protein phosphatase PPM6,PPM6,NA
PBANKA_1407800,"U4/U6 small nuclear ribonucleoprotein PRP3, putative",PRPF3,NA
PBANKA_1408200,"vacuolar protein sorting-associated protein 18, putative",VPS18,NA
PBANKA_1408300,"conserved protein, unknown function",null,NA
PBANKA_1408400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1408500,"ATP synthase subunit O, mitochondrial, putative",OSCP,NA
PBANKA_1408600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1408700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1408900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1409000,"ER membrane protein complex subunit 7, putative",EMC7,NA
PBANKA_1409100,"ras-related protein Rab-5B, putative",RAB5b,NA
PBANKA_1409200,"RNA-binding protein, putative",null,NA
PBANKA_1409300,"tetratricopeptide repeat protein, putative",null,NA
PBANKA_1409400,"mitochondrial ribosomal protein S15 precursor, putative",null,NA
PBANKA_1409500,"protein ISD11, putative",ISD11,NA
PBANKA_1409700,"alternative splicing regulator, putative",null,NA
PBANKA_1409800,"ATP synthase subunit gamma, mitochondrial, putative",null,NA
PBANKA_1409900,"AP-1 complex subunit mu-1, putative",AP1M1,NA
PBANKA_1410000,"26S protease regulatory subunit 7, putative",RPT1,NA
PBANKA_1410100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1410200,"cytochrome c, putative",null,NA
PBANKA_1410300,"M1-family alanyl aminopeptidase, putative",M1AAP,NA
PBANKA_1410400,"V-type proton ATPase catalytic subunit A, putative",null,NA
PBANKA_1410600,"GYF domain-containing protein, putative",null,NA
PBANKA_1410700,"conserved protein, unknown function",null,NA
PBANKA_1410800,"mitochondrial ribosomal protein S35 precursor, putative",null,NA
PBANKA_1410950,apical ring associated protein 1,ARA1,NA
PBANKA_1411000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1411100,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",BCKDHA,NA
PBANKA_1411200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1411300,"eukaryotic translation initation factor 4 gamma, putative",EIF4G,NA
PBANKA_1411400,"ubiquitin-like protein nedd8 homologue, putative",NEDD8,NA
PBANKA_1411500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1411800,"DEAD box helicase, putative",null,NA
PBANKA_1411900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1412200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1412300,"ankyrin-repeat protein, putative",null,NA
PBANKA_1412400,"conserved protein, unknown function",null,NA
PBANKA_1412500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1412600,telomerase reverse transcriptase,TERT,NA
PBANKA_1412800,"MACRO domain-containing protein, putative",null,NA
PBANKA_1412900,"conserved protein, unknown function",null,NA
PBANKA_1413000,"transmembrane emp24 domain-containing protein, putative",null,NA
PBANKA_1413200,"pinin/SDK/MemA domain-containing protein, putative",null,NA
PBANKA_1413400,"general transcription factor IIH subunit 2, putative",P44,NA
PBANKA_1413500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1413700,"heptatricopeptide repeat-containing protein, putative",null,NA
PBANKA_1413800,"conserved protein, unknown function",null,NA
PBANKA_1413900,"zinc finger (CCCH type) protein, putative",null,NA
PBANKA_1414000,"conserved protein, unknown function",null,NA
PBANKA_1414200,"tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61, putative",GCD14,NA
PBANKA_1414600,"inositol polyphosphate kinase, putative",IPK2,NA
PBANKA_1414700,"ADP-ribosylation factor, putative",null,NA
PBANKA_1414900,SAS6-like protein,SAS6L,NA
PBANKA_1415000,"pre-mRNA-processing factor 40, putative",PRP40,NA
PBANKA_1415100,choline-phosphate cytidylyltransferase,CCT,NA
PBANKA_1415300,"protein transport protein SEC20, putative",SEC20,NA
PBANKA_1415500,"U4/U6.U5 tri-snRNP-associated protein 2, putative",USP39,NA
PBANKA_1415600,"DNA replication licensing factor MCM4, putative",MCM4,NA
PBANKA_1415700,"AP2 domain transcription factor AP2-G3, putative",AP2-G3,NA
PBANKA_1415800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1415900,"zinc finger protein, putative",null,NA
PBANKA_1416000,"conserved protein, unknown function",null,NA
PBANKA_1416100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1416300,"40S ribosomal protein S19, putative",RPS19,NA
PBANKA_1416400,"nucleolar complex protein 4, putative",NOC4,NA
PBANKA_1416500,"conserved protein, unknown function",null,NA
PBANKA_1416600,"ferredoxin, putative",FD,NA
PBANKA_1416800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1417100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1417300,"translocation protein SEC63, putative",SEC63,NA
PBANKA_1417600,"ubiquitin carboxyl-terminal hydrolase MINDY, putative",null,NA
PBANKA_1417700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1417800,"tRNA (guanine(26)-N(2))-dimethyltransferase, putative",TRM1,NA
PBANKA_1417900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1418000,"conserved protein, unknown function",null,NA
PBANKA_1418200,"protein phosphatase PP2A regulatory subunit A, putative",null,NA
PBANKA_1418300,"golgi protein 1, putative",PRP2,NA
PBANKA_1418400,"ATP-dependent Clp protease adapter protein ClpS, putative",ClpS,NA
PBANKA_1418500,"TBC domain protein, putative",null,NA
PBANKA_1418800,"SNARE protein, putative",null,NA
PBANKA_1419000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1419100,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative",null,NA
PBANKA_1419200,"RNA-binding protein, putative",null,NA
PBANKA_1419500,"conserved protein, unknown function",null,NA
PBANKA_1419600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1419700,"palmitoyltransferase DHHC8, putative",DHHC8,NA
PBANKA_1419800,"3',5'-cyclic nucleotide phosphodiesterase beta, putative",PDEbeta,NA
PBANKA_1419900,"cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative",PDEgamma,NA
PBANKA_1420000,"GPCR-like receptor SR25, putative",SR25,NA
PBANKA_1420200,"mitochondrial ribosomal protein S5 precursor, putative",null,NA
PBANKA_1420300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1420400,"negative elongation factor A, putative",NELFA,NA
PBANKA_1420500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1420600,"histone H2B variant, putative",H2B.Z,NA
PBANKA_1420900,"palmitoyltransferase DHHC4, putative",DHHC4,NA
PBANKA_1421100,"transcription elongation factor s-II, putative",null,NA
PBANKA_1421200,"conserved protein, unknown function",null,NA
PBANKA_1421221:tRNA,tRNA Asparagine,null,NA
PBANKA_1421241:tRNA,tRNA Leucine,null,NA
PBANKA_1421300,phosphoglycolate phosphatase,PGP,NA
PBANKA_1421600,"calcium/calmodulin-dependent protein kinase, putative",null,NA
PBANKA_1421800,"ATP synthase subunit epsilon, mitochondrial, putative",null,NA
PBANKA_1421900,"GTP-binding translation elongation factor, putative",null,NA
PBANKA_1422000,"conserved protein, unknown function",null,NA
PBANKA_1422100,"drug/metabolite transporter DMT1, putative",DMT1,NA
PBANKA_1422200,"cation diffusion facilitator family protein, putative",CDF,NA
PBANKA_1422300,"FAD-dependent monooxygenase, putative",null,NA
PBANKA_1422500,"heptatricopeptide repeat and RAP domain-containing protein, putative",null,NA
PBANKA_1422600,"selenoprotein, putative",Sel3,NA
PBANKA_1422700,"superoxide dismutase [Fe], putative",FeSOD,NA
PBANKA_1422800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1422900,"conserved protein, unknown function",null,NA
PBANKA_1423000,"conserved protein, unknown function",null,NA
PBANKA_1423100,"phospholipase DDHD1, putative",null,NA
PBANKA_1423200,"AAA family ATPase, putative",null,NA
PBANKA_1423300,"DNA/RNA-binding protein Alba 1, putative",ALBA1,NA
PBANKA_1423400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1423500,"60S ribosomal protein L13-2, putative",null,NA
PBANKA_1423600,"40S ribosomal protein S16, putative",null,NA
PBANKA_1423800,"ABC transporter F family member 1, putative",ABCF1,NA
PBANKA_1423900,"translation initiation factor SUI1, putative",null,NA
PBANKA_1424000,"PUB domain-containing protein, putative",null,NA
PBANKA_1424100,"mediator of RNA polymerase II transcription subunit 21, putative",MED21,NA
PBANKA_1424200,"conserved protein, unknown function",null,NA
PBANKA_1424300,"conserved protein, unknown function",null,NA
PBANKA_1424600,"conserved protein, unknown function",null,NA
PBANKA_1424700,"conserved protein, unknown function",null,NA
PBANKA_1424900,"ubiquitin-conjugating enzyme E2, putative",null,NA
PBANKA_1425000,"RNA-binding protein, putative",null,NA
PBANKA_1425100,"karyopherin alpha, putative",KARalpha,NA
PBANKA_1425300,"trypsin-like serine protease, putative",null,NA
PBANKA_1425350,"GTPase, putative",null,NA
PBANKA_1425400,"proteasome activator complex subunit 4, putative",null,NA
PBANKA_1425500,"conserved protein, unknown function",null,NA
PBANKA_1425600,"RNA-binding protein, putative",null,NA
PBANKA_1425700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1425900,"conserved protein, unknown function",null,NA
PBANKA_1426100,"conserved protein, unknown function",null,NA
PBANKA_1426200,"CCR4-associated factor 1, putative",CAF1,NA
PBANKA_1426300,"ER membrane protein complex subunit 1, putative",EMC1,NA
PBANKA_1426400,"mitochondrial carrier protein, putative",null,NA
PBANKA_1426500,"cullin-1, putative",CUL1,NA
PBANKA_1426600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1426900,"ATP-dependent RNA helicase DBP1, putative",DBP1,NA
PBANKA_1427000,protein phosphatase PPM7,PPM7,NA
PBANKA_1427200,protein phosphatase PPM5,PPM5,NA
PBANKA_1427300,"ABC1 family, putative",null,NA
PBANKA_1427400,"apicoplast ribosomal protein L33 precursor, putative",null,NA
PBANKA_1427500,"acyl-CoA binding protein, putative",null,NA
PBANKA_1427800,"peptidase family C50, putative",null,NA
PBANKA_1427900,"histone acetyltransferase subunit NuA4, putative",null,NA
PBANKA_1428000,"conserved protein, unknown function",null,NA
PBANKA_1428100,"asparagine-rich antigen, putative",null,NA
PBANKA_1428200,"conserved protein, unknown function",null,NA
PBANKA_1428400,"tetratricopeptide repeat protein, putative",null,NA
PBANKA_1428600,"SND2 domain-containing protein, putative",null,NA
PBANKA_1428700,"eukaryotic translation initiation factor 3 subunit A, putative",EIF3A,NA
PBANKA_1428800,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial, putative",SDHB,NA
PBANKA_1428900,"bromodomain protein 2, putative",BDP2,NA
PBANKA_1429500,"DNA-directed RNA polymerases I, II, and III subunit RPABC3, putative",RPB8,NA
PBANKA_1429600,proline--tRNA ligase,PRS,NA
PBANKA_1429700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1429800,"conserved protein, unknown function",null,NA
PBANKA_1429900,"GPI ethanolamine phosphate transferase 3, putative",PIGO,NA
PBANKA_1430000,"histone-lysine N-methyltransferase, putative",SET5,NA
PBANKA_1430100,"geranylgeranyl transferase type-2 subunit beta, putative",null,NA
PBANKA_1430200,"ER membrane protein complex subunit 6, putative",EMC6,NA
PBANKA_1430400,"adrenodoxin-type ferredoxin, putative",null,NA
PBANKA_1430700,"conserved protein, unknown function",null,NA
PBANKA_1430800,"thioredoxin peroxidase 2, putative",Trx-Px2,NA
PBANKA_1431050,"10 kDa chaperonin, putative",CPN10,NA
PBANKA_1431100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1431600,"serpentine receptor, putative",SR10,NA
PBANKA_1431700,"serine--tRNA ligase, putative",null,NA
PBANKA_1431800,"conserved protein, unknown function",null,NA
PBANKA_1431900,"glycerol-3-phosphate dehydrogenase [NAD(+)], putative",null,NA
PBANKA_1432000,"signal recognition particle subunit SRP19, putative",SRP19,NA
PBANKA_1432100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1432200,male development gene 1,MDV1,NA
PBANKA_1432300,cell traversal protein for ookinetes and sporozoites,CelTOS,NA
PBANKA_1432451:tRNA,tRNA Proline,null,NA
PBANKA_1432500,"DNA-binding chaperone, putative",null,NA
PBANKA_1432600,"conserved protein, unknown function",null,NA
PBANKA_1432700,"meiotic recombination protein SPO11, putative",SPO11,NA
PBANKA_1432800,"multiple RNA-binding domain-containing protein 1, putative",MRD1,NA
PBANKA_1432900,"GTP-binding protein EngA, putative",EngA,NA
PBANKA_1433000,"conserved protein, unknown function",null,NA
PBANKA_1433100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1433200,"anaphase-promoting complex subunit 10, putative",APC10,NA
PBANKA_1433300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1433400,"diphthamide biosynthesis protein 3, putative",DPH3,NA
PBANKA_1433600,thrombospondin-related apical membrane protein,TRAMP,NA
PBANKA_1433700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1433800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1434100,"dynamin-like protein, putative",DYN3,NA
PBANKA_1434200,"arginine--tRNA ligase, putative",RRS,NA
PBANKA_1434700,"clathrin heavy chain, putative",null,NA
PBANKA_1434800,"aminophospholipid-transporting P-ATPase, putative",null,NA
PBANKA_1435000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1435100,"ribulose-phosphate 3-epimerase, putative",null,NA
PBANKA_1435200,"zinc finger protein, putative",null,NA
PBANKA_1435300,"pre-mRNA-processing factor 17, putative",PRP17,NA
PBANKA_1435400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1435500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1435600,"debranching enzyme-associated ribonuclease, putative",DRN1,NA
PBANKA_1435700,"ribosome biogenesis protein TSR3, putative",TSR3,NA
PBANKA_1435800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1435900,"conserved Plasmodium protein, unknown function",UIS27,NA
PBANKA_1436100,heterochromatin protein 1,HP1,NA
PBANKA_1436200,"histone-lysine N-methyltransferase, H3 lysine-4 specific, putative",SET10,NA
PBANKA_1436400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1436700,"heptatricopeptide repeat-containing protein, putative",null,NA
PBANKA_1436800,"protein TSSC1, putative",null,NA
PBANKA_1436900,"FbpA domain protein, putative",null,NA
PBANKA_1437000,"conserved protein, unknown function",null,NA
PBANKA_1437100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1437200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1437250,small nucleolar RNA snoR15,null,NA
PBANKA_1437300,"endoplasmin, putative",GRP94,NA
