GeneId	ProductDescription	TranscriptLength	ProteinLength	MolecularWeight
PBANKA_1351000.1	"1-deoxy-D-xylulose 5-phosphate synthase, putative"	3093	1030	119885
PBANKA_0602400.1	"major facilitator superfamily domain-containing protein, putative"	3072	1023	120021
PBANKA_1339000.1	"vacuolar protein sorting-associated protein 52, putative"	3060	1019	120073
PBANKA_1128600.1	"cullin-like protein, putative"	3018	1005	120090
PBANKA_1008400.1	"conserved Plasmodium protein, unknown function"	3009	1002	120095
PBANKA_0918600.1	"phosphatidylinositol-4-phosphate 5-kinase, putative"	3051	1016	120166
PBANKA_1225300.1	"conserved Plasmodium protein, unknown function"	3060	1019	120189
PBANKA_0803300.1	"RNA helicase, putative"	3036	1011	120191
PBANKA_0613800.1	"protein SDA1, putative"	3072	1023	120402
PBANKA_0602000.1	"origin recognition complex subunit 1, putative"	3117	1038	120488
PBANKA_0710100.1	"2-oxoglutarate dehydrogenase E1 component, putative"	3117	1038	120553
PBANKA_1410600.1	"conserved Plasmodium protein, unknown function"	3015	1004	120573
PBANKA_1212300.1	"translation initiation factor eIF-2B subunit delta, putative"	3111	1036	120662
PBANKA_0712100.1	"DNA helicase, putative"	3057	1018	120760
PBANKA_0824300.1	"conserved Plasmodium protein, unknown function"	2973	990	120820
PBANKA_1238000.1	"conserved Plasmodium protein, unknown function"	3033	1010	120908
PBANKA_1029900.1	"AAA family ATPase, putative"	3126	1041	120920
PBANKA_0508300.1	"conserved Plasmodium protein, unknown function"	3096	1031	121002
PBANKA_1217200.1	"conserved Plasmodium protein, unknown function"	3048	1015	121104
PBANKA_0410200.1	"tetratricopeptide repeat protein, putative"	3033	1010	121151
PBANKA_0813600.1	"conserved Plasmodium protein, unknown function"	3036	1011	121159
PBANKA_API00150.1	"DNA-directed RNA polymerase subunit beta, putative"	3057	1018	121414
PBANKA_1319200.1	"AP-1 complex subunit gamma, putative"	3204	1067	121511
PBANKA_0204500.1	LCCL domain-containing protein	3150	1049	121559
PBANKA_1226800.1	"DNA repair and recombination protein RAD54, putative"	3147	1048	121589
PBANKA_1201400.1	"conserved Plasmodium protein, unknown function"	3096	1031	121653
PBANKA_1443400.1	"conserved Plasmodium protein, unknown function"	3060	1019	121734
PBANKA_1015800.1	"conserved Plasmodium protein, unknown function"	3078	1025	121784
PBANKA_0413500.1	"conserved Plasmodium protein, unknown function"	3114	1037	121924
PBANKA_1107400.1	"conserved Plasmodium protein, unknown function"	3159	1052	122165
PBANKA_1133700.1	"conserved Plasmodium protein, unknown function"	3105	1034	122206
PBANKA_1407900.1	"HORMA domain protein, putative"	3144	1047	122229
PBANKA_0211700.1	"conserved Plasmodium protein, unknown function"	3069	1022	122248
PBANKA_0802700.1	"mRNA cap guanine-N7 methyltransferase, putative"	3093	1030	122277
PBANKA_1446300.1	"pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative"	3174	1057	122401
PBANKA_0616200.1	"conserved Plasmodium protein, unknown function"	3201	1066	122619
PBANKA_0705700.1	"conserved Plasmodium protein, unknown function"	3108	1035	122728
PBANKA_0700900.1	"reticulocyte binding protein, putative"	3147	1048	122786
PBANKA_0915300.1	"conserved Plasmodium protein, unknown function"	3093	1030	123126
PBANKA_0304900.1	serine repeat antigen 3	3291	1096	123200
PBANKA_0614400.1	"conserved Plasmodium protein, unknown function"	3099	1032	123210
PBANKA_1224500.1	"C-mannosyltransferase, putative"	3108	1035	123247
PBANKA_1202900.1	"conserved Plasmodium protein, unknown function"	3111	1036	123250
PBANKA_0901800.1	"conserved Plasmodium protein, unknown function"	3147	1048	123282
PBANKA_1410300.1	"M1-family alanyl aminopeptidase, putative"	3195	1064	123351
PBANKA_1225100.1	"conserved Plasmodium protein, unknown function"	3153	1050	123364
PBANKA_1219600.1	"cg1 protein, putative"	3114	1037	123502
PBANKA_1414600.1	"inositol polyphosphate kinase, putative"	3129	1042	123694
PBANKA_1446600.1	"conserved Plasmodium protein, unknown function"	3093	1030	123893
PBANKA_1330300.1	"rhoptry protein, putative"	3150	1049	123909
PBANKA_0202500.1	"replication factor c protein, putative"	3132	1043	123912
PBANKA_0305000.1	serine repeat antigen 2	3369	1122	123983
PBANKA_1417900.1	"conserved Plasmodium protein, unknown function"	3159	1052	124126
PBANKA_0205600.1	"double-strand break repair protein MRE11, putative"	3153	1050	124233
PBANKA_0518800.1	"tRNA pseudouridine synthase D, putative"	3183	1060	124360
PBANKA_0922200.1	"autophagy-related protein 7, putative"	3165	1054	124375
PBANKA_0619800.1	"zinc finger protein, putative"	3138	1045	124451
PBANKA_1308900.1	"histidine--tRNA ligase, putative"	3207	1068	124655
PBANKA_0815100.1	"conserved Plasmodium protein, unknown function"	3177	1058	124701
PBANKA_0703600.1	"translation initiation factor IF-2, putative"	3222	1073	124776
PBANKA_1334000.1	"conserved Plasmodium protein, unknown function"	3123	1040	124900
PBANKA_1116000.1	TRAP-like protein	3225	1074	124949
PBANKA_1034100.1	"DNA repair helicase, putative"	3210	1069	124962
PBANKA_0720200.1	"conserved Plasmodium protein, unknown function"	3174	1057	125114
PBANKA_0824900.1	"patatin-like phospholipase, putative"	3204	1067	125217
PBANKA_1017500.1	"lipase, putative"	3156	1051	125336
PBANKA_1145500.1	"conserved Plasmodium protein, unknown function"	3180	1059	125546
PBANKA_1344800.1	"conserved Plasmodium protein, unknown function"	3153	1050	125553
PBANKA_1410900.1	"translation initiation factor IF-2, putative"	3231	1076	125918
PBANKA_1027100.1	"conserved Plasmodium protein, unknown function"	3171	1056	126089
PBANKA_1325600.1	"valine--tRNA ligase, putative"	3234	1077	126099
PBANKA_0703700.1	"ATP-dependent RNA helicase DBP10, putative"	3216	1071	126113
PBANKA_0408400.1	"phosphoglycerate mutase, putative"	3210	1069	126176
PBANKA_0209500.1	"ATP dependent RNA helicase, putative"	3177	1058	126218
PBANKA_1227900.1	"periodic tryptophan protein 2, putative"	3297	1098	126324
PBANKA_0401800.1	"HAD superfamily protein, putative"	3282	1093	126495
PBANKA_0501300.1	"DNA polymerase delta catalytic subunit, putative"	3294	1097	126553
PBANKA_1339700.1	"DEAD box helicase, putative"	3201	1066	126740
PBANKA_1442500.1	"histone acetyltransferase, putative"	3210	1069	126876
PBANKA_0612400.1	"conserved Plasmodium protein, unknown function"	3264	1087	126944
PBANKA_1005700.1	"conserved Plasmodium protein, unknown function"	3222	1073	126948
PBANKA_1215100.1	"Rh5 interacting protein, putative"	3291	1096	126951
PBANKA_0210400.1	"DNA mismatch repair protein PMS1, putative"	3231	1076	127079
PBANKA_1238900.1	"conserved Plasmodium protein, unknown function"	3237	1078	127115
PBANKA_0927600.1	"conserved Plasmodium protein, unknown function"	3246	1081	127182
PBANKA_0416200.1	"mitochondrial carrier protein, putative"	3276	1091	127296
PBANKA_0207000.1	"calcium-transporting ATPase, putative"	3363	1120	127352
PBANKA_1232200.1	FACT complex subunit SPT16	3291	1096	127562
PBANKA_1238800.1	"karyopherin beta, putative"	3381	1126	127823
PBANKA_1313400.1	"exosome complex exonuclease RRP6, putative"	3264	1087	127844
PBANKA_0811200.1	"SET domain protein, putative"	3261	1086	127888
PBANKA_1346000.1	"DNA polymerase theta, putative"	3234	1077	128013
PBANKA_1230600.1	"conserved Plasmodium protein, unknown function"	3222	1073	128042
PBANKA_1118400.1	"conserved Plasmodium protein, unknown function"	3225	1074	128108
PBANKA_1364400.1	"inner membrane complex protein 1f, putative"	3360	1119	128249
PBANKA_0830800.1	"conserved Plasmodium protein, unknown function"	3234	1077	128285
PBANKA_1113800.1	"ATP-dependent DNA helicase UvrD, putative"	3273	1090	128406
PBANKA_0814600.1	"conserved Plasmodium protein, unknown function"	3213	1070	128475
PBANKA_1245800.1	"conserved Plasmodium protein, unknown function"	3219	1072	128512
PBANKA_0939300.1	"conserved Plasmodium protein, unknown function"	3204	1067	128579
PBANKA_1029000.1	"conserved Plasmodium protein, unknown function"	3282	1093	128631
PBANKA_0827600.1	"conserved Plasmodium protein, unknown function"	3312	1103	128727
PBANKA_1427600.1	"conserved Plasmodium protein, unknown function"	3231	1076	128770
PBANKA_1220100.1	"ribonucleases P/MRP protein subunit POP1, putative"	3249	1082	128791
PBANKA_1233400.1	"WD repeat-containing protein 26, putative"	3300	1099	128851
PBANKA_0111600.1	"rhoptry protein ROP14, putative"	3267	1088	128881
PBANKA_0106900.1	"conserved Plasmodium protein, unknown function"	3252	1083	128902
PBANKA_1440700.1	"ubiquitin-activating enzyme E1, putative"	3363	1120	128954
PBANKA_1221600.1	"cell division cycle ATPase, putative"	3369	1122	128983
PBANKA_1033400.1	"aldo-keto reductase, putative"	3285	1094	129184
PBANKA_1027800.1	"ATP-dependent protease, putative"	3312	1103	129494
PBANKA_1443100.1	"conserved Plasmodium protein, unknown function"	3288	1095	129549
PBANKA_1024200.1	"conserved Plasmodium protein, unknown function"	3369	1122	129582
PBANKA_1224700.1	"AAA family ATPase, putative"	3261	1086	129682
PBANKA_1017900.1	phosphoenolpyruvate carboxylase	3363	1120	130162
PBANKA_0827100.1	"protein kinase, putative"	3333	1110	130223
PBANKA_0620900.1	"conserved Plasmodium protein, unknown function"	3369	1122	130442
PBANKA_1434100.1	"conserved Plasmodium protein, unknown function"	3426	1141	130467
PBANKA_1426300.1	"ER membrane protein complex subunit 1, putative"	3372	1123	130578
PBANKA_0415800.1	"WD repeat-containing protein 66, putative"	3336	1111	130742
PBANKA_0108100.1	"conserved Plasmodium protein, unknown function"	3330	1109	130744
PBANKA_1114000.1	"aspartate--tRNA ligase, putative"	3285	1094	130826
PBANKA_1431400.1	"conserved Plasmodium protein, unknown function"	3369	1122	130965
PBANKA_0801900.1	"methyltransferase, putative"	3345	1114	131114
PBANKA_1342100.1	"conserved Plasmodium protein, unknown function"	3249	1082	131140
PBANKA_1017600.1	"conserved Plasmodium protein, unknown function"	3297	1098	131281
PBANKA_1035600.1	"ATP-dependent Clp protease regulatory subunit ClpC, putative"	3387	1128	131422
PBANKA_1229000.1	"Plasmodium exported protein (PHIST), unknown function"	3420	1139	131466
PBANKA_1101800.1	"vacuolar protein sorting-associated protein 11, putative"	3291	1096	131798
PBANKA_1409300.1	"conserved Plasmodium protein, unknown function"	3345	1114	131801
PBANKA_0713100.1	"rhoptry neck protein 5, putative"	3447	1148	131886
PBANKA_0706400.1	"conserved Plasmodium protein, unknown function"	3324	1107	131916
PBANKA_0707700.1	"conserved Plasmodium protein, unknown function"	3441	1146	131942
PBANKA_0916000.1	"conserved Plasmodium protein, unknown function"	3342	1113	132246
PBANKA_0203200.1	"bromodomain protein, putative"	3342	1113	132350
PBANKA_0942000.1	"calcium/calmodulin-dependent protein kinase, putative"	3351	1116	132691
PBANKA_0307900.1	"conserved Plasmodium protein, unknown function"	3318	1105	132708
PBANKA_0940300.1	"DEAD/DEAH box helicase, putative"	3372	1123	132830
PBANKA_1115200.1	"conserved Plasmodium protein, unknown function"	3417	1138	132835
PBANKA_0510100.1	"conserved Plasmodium protein, unknown function"	3435	1144	132857
PBANKA_0300700.1	"conserved Plasmodium protein, unknown function"	3384	1127	132931
PBANKA_0937400.1	"pre-mRNA-processing factor 6, putative"	3489	1162	133100
PBANKA_0604200.1	"zinc finger protein, putative"	3498	1165	133115
PBANKA_1339200.1	"conserved Plasmodium protein, unknown function"	3345	1114	133292
PBANKA_1202100.1	"conserved Plasmodium protein, unknown function"	3441	1146	133318
PBANKA_1223000.1	"conserved Plasmodium protein, unknown function"	3423	1140	133448
PBANKA_0938000.1	"conserved Plasmodium protein, unknown function"	3414	1137	133458
PBANKA_1137000.1	bergheilysin	3450	1149	133532
PBANKA_0621400.1	"RNA-binding protein, putative"	3399	1132	133593
PBANKA_1142300.1	"rhoptry protein RHOP148, putative"	3396	1131	133773
PBANKA_1132000.1	NLI interacting factor-like phosphatase	3435	1144	133776
PBANKA_0514100.1	"pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative"	3489	1162	133798
PBANKA_0313000.1	"conserved Plasmodium protein, unknown function"	3348	1115	133870
PBANKA_1126400.1	"transportin, putative"	3501	1166	133958
PBANKA_1216600.1	"cyclic amine resistance locus protein, putative"	3390	1129	133960
PBANKA_0805000.1	"RAP protein, putative"	3417	1138	134004
PBANKA_1027200.1	"conserved Plasmodium protein, unknown function"	3333	1110	134004
PBANKA_1140200.1	"pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative"	3453	1150	134159
PBANKA_1012300.1	"conserved Plasmodium protein, unknown function"	3378	1125	134186
PBANKA_0604600.1	"conserved protein, unknown function"	3519	1172	134286
PBANKA_1036100.1	"conserved Plasmodium protein, unknown function"	3399	1132	134399
PBANKA_0520300.1	"conserved Plasmodium protein, unknown function"	3369	1122	134528
PBANKA_0802500.1	"conserved Plasmodium protein, unknown function"	3423	1140	134553
PBANKA_0811300.1	"exportin-7, putative"	3483	1160	134690
PBANKA_0511100.1	"conserved Plasmodium protein, unknown function"	3447	1148	134740
PBANKA_0705800.1	"conserved Plasmodium protein, unknown function"	3384	1127	134807
PBANKA_1353900.1	"conserved Plasmodium protein, unknown function"	3381	1126	135037
PBANKA_1317200.1	"pyridine nucleotide transhydrogenase, putative"	3606	1201	135196
PBANKA_1219900.1	"Cg7 protein, putative"	3411	1136	135207
PBANKA_0312800.1	"conserved Plasmodium protein, unknown function"	3378	1125	135305
PBANKA_1334800.1	"conserved Plasmodium protein, unknown function"	3546	1181	135305
PBANKA_0934900.1	"conserved Plasmodium protein, unknown function"	3405	1134	135341
PBANKA_1001600.1	"SET domain protein, putative"	3423	1140	135524
PBANKA_0924800.1	"conserved Plasmodium protein, unknown function"	3579	1192	135573
PBANKA_1335600.1	"M1-family alanyl aminopeptidase, putative"	3345	1114	135576
PBANKA_1007200.1	"replication protein A1, large subunit, putative"	3513	1170	135592
PBANKA_1139000.1	"conserved Plasmodium protein, unknown function"	3363	1120	135714
PBANKA_0609100.1	"conserved Plasmodium protein, unknown function"	3510	1169	135724
PBANKA_1425600.1	"RNA-binding protein, putative"	3423	1140	135777
PBANKA_1453000.1	"conserved Plasmodium protein, unknown function"	3438	1145	135869
PBANKA_1339800.1	"conserved Plasmodium protein, unknown function"	3393	1130	135895
PBANKA_0504900.1	"histone acetyltransferase, putative"	3468	1155	135974
PBANKA_0109200.1	"transcription elongation factor SPT5, putative"	3525	1174	136055
PBANKA_1315100.1	transcriptional regulatory protein sir2b	3486	1161	136153
PBANKA_1023000.1	"tetratricopeptide repeat protein, putative"	3462	1153	136203
PBANKA_1425800.1	"conserved Plasmodium protein, unknown function"	3396	1131	136338
PBANKA_1438200.1	"DNA gyrase subunit A, putative"	3510	1169	136582
PBANKA_0836000.1	"vacuolar protein sorting-associated protein 33, putative"	3495	1164	136600
PBANKA_1414400.1	"exportin-T, putative"	3525	1174	136680
PBANKA_0509100.1	"conserved Plasmodium protein, unknown function"	3393	1130	136745
PBANKA_1419800.1	"3',5'-cyclic nucleotide phosphodiesterase, putative"	3477	1158	136746
PBANKA_1019700.1	"conserved Plasmodium protein, unknown function"	3531	1176	136888
PBANKA_1232900.1	"RAP protein, putative"	3468	1155	136899
PBANKA_1124200.1	"DNA polymerase 1, putative"	3474	1157	136950
PBANKA_1233500.1	mRNA-binding protein PUF1	3552	1183	137247
PBANKA_1223500.1	"ATP-dependent RNA helicase DHH1, putative"	3474	1157	137596
PBANKA_0509600.1	"conserved Plasmodium protein, unknown function"	3423	1140	137639
PBANKA_1457600.1	"RNA-binding protein, putative"	3471	1156	137647
PBANKA_1348300.1	"U3 small nucleolar RNA-associated protein 4, putative"	3471	1156	137817
PBANKA_1226700.1	"AAA family ATPase, putative"	3450	1149	137828
PBANKA_1420800.1	"conserved Plasmodium protein, unknown function"	3594	1197	137954
PBANKA_1329700.1	"26S proteasome regulatory subunit RPN2, putative"	3660	1219	138085
PBANKA_1202200.1	"U5 small nuclear ribonuclear protein, putative"	3582	1193	138142
PBANKA_0417900.1	"conserved Plasmodium protein, unknown function"	3714	1237	138291
PBANKA_1449400.1	"splicing factor 3B subunit 3, putative"	3657	1218	138339
PBANKA_0921900.1	"conserved Plasmodium protein, unknown function"	3507	1168	138349
PBANKA_0106700.1	"conserved Plasmodium protein, unknown function"	3534	1177	138399
PBANKA_0305500.1	"conserved Plasmodium protein, unknown function"	3417	1138	138481
PBANKA_0825400.1	"conserved Plasmodium protein, unknown function"	3492	1163	138507
PBANKA_1406200.1	"conserved Plasmodium protein, unknown function"	3603	1200	138719
PBANKA_1311800.1	"U3 small nucleolar RNA-associated protein 12, putative"	3555	1184	138763
PBANKA_1357600.1	"conserved Plasmodium protein, unknown function"	3504	1167	138900
PBANKA_1442100.1	"conserved Plasmodium protein, unknown function"	3492	1163	139022
PBANKA_0716000.1	"structural maintenance of chromosomes protein 3, putative"	3528	1175	139069
PBANKA_1403100.1	"conserved Plasmodium protein, unknown function"	3507	1168	139131
PBANKA_0409200.1	"valine--tRNA ligase, putative"	3450	1149	139139
PBANKA_0711800.1	"conserved Plasmodium protein, unknown function"	3525	1174	139294
PBANKA_0930100.1	"conserved Plasmodium protein, unknown function"	3579	1192	139297
PBANKA_1439600.1	"conserved Plasmodium protein, unknown function"	3555	1184	139414
PBANKA_0101400.1	"conserved Plasmodium protein, unknown function"	3606	1201	139714
PBANKA_1225000.1	"serine/threonine protein kinase, FIKK family"	3579	1192	139788
PBANKA_0206600.1	"asparagine and aspartate rich protein 2, putative"	3558	1185	139823
PBANKA_1211500.1	"U3 small nucleolar RNA-associated protein 13, putative"	3579	1192	140161
PBANKA_1228200.1	"glutamate dehydrogenase, putative"	3639	1212	140172
PBANKA_0308300.1	"GAF domain-related protein, putative"	3528	1175	140317
PBANKA_0916600.1	"oxysterol-binding protein, putative"	3591	1196	140509
PBANKA_1303100.1	"conserved Plasmodium protein, unknown function"	3537	1178	140564
PBANKA_0207700.1	"conserved Plasmodium protein, unknown function"	3540	1179	140618
PBANKA_0311600.1	"conserved Plasmodium protein, unknown function"	3618	1205	140848
PBANKA_0524000.1	"conserved Plasmodium protein, unknown function"	3567	1188	140872
PBANKA_0718300.1	"DNA helicase MCM9, putative"	3645	1214	140924
PBANKA_0917300.1	"conserved Plasmodium protein, unknown function"	3528	1175	141207
PBANKA_1241300.1	"conserved Plasmodium protein, unknown function"	3543	1180	141228
PBANKA_1412400.1	"conserved Plasmodium protein, unknown function"	3600	1199	141290
PBANKA_0911700.1	subtilisin-like protease 2	3693	1230	141324
PBANKA_1143600.1	"alanine--tRNA ligase, putative"	3657	1218	141345
PBANKA_0417300.1	"AP-4 complex subunit epsilon, putative"	3675	1224	141358
PBANKA_1312000.1	"condensin-2 complex subunit G2, putative"	3546	1181	141518
PBANKA_0612800.1	"DEAD box ATP-dependent RNA helicase, putative"	3576	1191	141806
PBANKA_0821500.1	"conserved Plasmodium protein, unknown function"	3477	1158	141852
PBANKA_0812500.1	"conserved Plasmodium protein, unknown function"	3585	1194	141933
PBANKA_1348600.1	"conserved Plasmodium protein, unknown function"	3585	1194	141953
PBANKA_0828000.1	"zinc finger protein, putative"	3702	1233	142191
PBANKA_0704100.1	"ubiquitin conjugation factor E4 B, putative"	3657	1218	142255
PBANKA_1231500.1	"ubiquitin carboxyl-terminal hydrolase 2, putative"	3657	1218	142398
PBANKA_0904600.1	"conserved Plasmodium protein, unknown function"	3576	1191	142627
PBANKA_1105100.1	"DNA mismatch repair protein MSH6, putative"	3699	1232	142646
PBANKA_1229600.1	"conserved Plasmodium protein, unknown function"	3579	1192	142867
PBANKA_1222700.1	"conserved Plasmodium protein, unknown function"	3564	1187	142952
PBANKA_1313100.1	"crossover junction endonuclease MUS81, putative"	3654	1217	143015
PBANKA_1360800.1	"conserved Plasmodium protein, unknown function"	3585	1194	143233
PBANKA_1448000.1	"pentatricopeptide repeat domain-containing protein, putative"	3609	1202	143320
PBANKA_1416900.1	"structural maintenance of chromosomes protein 2, putative"	3684	1227	143503
PBANKA_0803600.1	"importin-7, putative"	3684	1227	143632
PBANKA_0612200.1	"conserved Plasmodium protein, unknown function"	3756	1251	143695
PBANKA_0702500.1	"leucine--tRNA ligase, putative"	3612	1203	143707
PBANKA_0937200.1	"asparagine-rich antigen, putative"	3729	1242	144270
PBANKA_1309600.1	"conserved Plasmodium protein, unknown function"	3633	1210	144321
PBANKA_1304300.1	"conserved Plasmodium protein, unknown function"	3666	1221	144335
PBANKA_0800900.1	"conserved Plasmodium protein, unknown function"	3669	1222	144352
PBANKA_1428300.1	"WD repeat-containing protein, putative"	3675	1224	144531
PBANKA_0717300.1	cdc2-related protein kinase 3	3645	1214	144552
PBANKA_1208100.1	"conserved Plasmodium protein, unknown function"	3612	1203	144660
PBANKA_0521500.1	"conserved Plasmodium protein, unknown function"	3669	1222	144841
PBANKA_1019900.1	"conserved Plasmodium protein, unknown function"	3678	1225	145025
PBANKA_1310000.1	"conserved Plasmodium protein, unknown function"	3600	1199	145092
PBANKA_0817000.1	"major facilitator superfamily domain-containing protein, putative"	3762	1253	145147
PBANKA_0203100.1	"phosphatidylinositol-4-phosphate 5-kinase, putative"	3726	1241	145446
PBANKA_0407100.1	"splicing factor 3B subunit 1, putative"	3810	1269	145522
PBANKA_1014900.1	"coatamer protein, beta subunit, putative"	3771	1256	145620
PBANKA_0402900.1	"conserved Plasmodium protein, unknown function"	3666	1221	145651
PBANKA_0929800.1	"insulinase, putative"	3753	1250	145687
PBANKA_1134000.1	"U3 small nucleolar RNA-associated protein 21, putative"	3750	1249	145799
PBANKA_0829500.1	"conserved Plasmodium protein, unknown function"	3669	1222	145852
PBANKA_1457400.1	"N-alpha-acetyltransferase 15, NatA auxiliary subunit, putative"	3687	1228	146121
PBANKA_1116700.1	"AP-2 complex subunit alpha, putative"	3747	1248	146176
PBANKA_0834300.1	"gamma-tubulin complex component, putative"	3729	1242	146243
PBANKA_0401500.1	"exportin-1, putative"	3741	1246	146649
PBANKA_0816400.1	"6-phosphofructokinase, putative"	3900	1299	146764
PBANKA_1121700.1	"leucine--tRNA ligase, putative"	3750	1249	146879
PBANKA_0924500.1	"structural maintenance of chromosomes protein 5, putative"	3708	1235	146924
PBANKA_0615500.1	"conserved Plasmodium protein, unknown function"	3747	1248	146935
PBANKA_1404500.1	"conserved Plasmodium protein, unknown function"	3717	1238	147108
PBANKA_1028000.1	"ubiquitin carboxyl-terminal hydrolase, putative"	3681	1226	147123
PBANKA_0216801.1	"reticulocyte binding protein, putative"	3759	1252	147179
PBANKA_0607700.1	"zinc finger transcription factor, putative"	3747	1248	147252
PBANKA_0503700.1	"conserved Plasmodium protein, unknown function"	3741	1246	147362
PBANKA_1203700.1	"regulator of nonsense transcripts 1, putative"	3828	1275	147717
PBANKA_0707600.1	"serine/threonine protein kinase VPS15, putative"	3669	1222	147898
PBANKA_1312100.1	"conserved Plasmodium protein, unknown function"	3813	1270	148064
PBANKA_1035200.1	LCCL domain-containing protein	3915	1304	148200
PBANKA_0312400.1	"DNA-directed RNA polymerase II subunit RPB2, putative"	3939	1312	148254
PBANKA_1143700.1	"secreted ookinete protein, putative"	3918	1305	148254
PBANKA_0214400.1	transcription factor with AP2 domain(s)	3819	1272	148298
PBANKA_0709900.1	"conserved Plasmodium protein, unknown function"	3693	1230	148377
PBANKA_0937200.2	"asparagine-rich antigen, putative"	3840	1279	148519
PBANKA_1418300.1	"golgi protein 1, putative"	3819	1272	148541
PBANKA_1211100.1	NLI interacting factor-like phosphatase	3792	1263	148742
PBANKA_0613000.1	"conserved Plasmodium protein, unknown function"	3711	1236	148751
PBANKA_1423800.1	"ABC transporter F family member 1, putative"	3765	1254	149111
PBANKA_0401200.1	"ABC transporter B family member 4, putative"	3825	1274	149155
PBANKA_0303700.1	"DNA repair protein RAD2, putative"	3864	1287	149277
PBANKA_1325800.1	"conserved Plasmodium protein, unknown function"	3723	1240	149497
PBANKA_1405000.1	"conserved Plasmodium protein, unknown function"	3774	1257	149771
PBANKA_0831200.1	"diacylglycerol kinase, putative"	3819	1272	149920
PBANKA_1337600.1	"conserved Plasmodium protein, unknown function"	3798	1265	149997
PBANKA_1244700.1	"conserved Plasmodium protein, unknown function"	3738	1245	150143
PBANKA_0915200.1	"conserved Plasmodium protein, unknown function"	3834	1277	150384
PBANKA_0826800.1	"protein kinase, putative"	3783	1260	150385
PBANKA_1120100.1	"conserved Plasmodium protein, unknown function"	3879	1292	150456
PBANKA_1403500.1	"conserved Plasmodium protein, unknown function"	3834	1277	150606
PBANKA_0208500.1	"conserved Plasmodium protein, unknown function"	3798	1265	150659
PBANKA_0100900.1	"ATP-dependent RNA helicase, putative"	3903	1300	150869
PBANKA_0707300.1	"histone acetyltransferase GCN5, putative"	3915	1304	151084
PBANKA_1347700.1	"isoleucine--tRNA ligase, putative"	3828	1275	151131
PBANKA_1027300.1	"conserved Plasmodium protein, unknown function"	3792	1263	151152
PBANKA_0506200.1	"RNA-binding protein, putative"	3933	1310	151564
PBANKA_1322200.1	"spindle assembly abnormal protein 4, putative"	3858	1285	151566
PBANKA_0810600.1	"exoribonuclease, putative"	3882	1293	151839
PBANKA_1215900.1	"conserved Plasmodium protein, unknown function"	3789	1262	151851
PBANKA_1014800.1	"ADP-dependent DNA helicase RecQ, putative"	3927	1308	151874
PBANKA_1400600.1	"cytoadherence linked asexual protein, putative"	3891	1296	152163
PBANKA_1428700.1	"eukaryotic translation initiation factor 3 subunit A, putative"	3792	1263	152449
PBANKA_1403300.1	NLI interacting factor-like phosphatase	3855	1284	152548
PBANKA_1227700.1	"inositol 5-phosphatase, putative"	3828	1275	153213
PBANKA_1421500.1	"conserved Plasmodium protein, unknown function"	3909	1302	153239
PBANKA_1115900.1	"conserved Plasmodium protein, unknown function"	3798	1265	153276
PBANKA_0833600.1	"importin alpha re-exporter, putative"	3873	1290	153298
PBANKA_1326000.1	"conserved Plasmodium protein, unknown function"	3894	1297	153357
PBANKA_1231400.1	"sporozoite surface antigen MB2, putative"	3978	1325	153416
PBANKA_0401100.1	"serine/threonine protein kinase, putative"	3921	1306	153650
PBANKA_1361100.1	"elongation factor Tu, putative"	3978	1325	153745
PBANKA_1322300.1	"conserved Plasmodium protein, unknown function"	3864	1287	153776
PBANKA_1429900.1	"GPI ethanolamine phosphate transferase 3, putative"	3879	1292	153797
PBANKA_1116400.1	"conserved Plasmodium protein, unknown function"	3843	1280	153843
PBANKA_1127900.1	"RAP protein, putative"	3855	1284	153943
PBANKA_1458400.1	"conserved Plasmodium protein, unknown function"	3843	1280	154106
PBANKA_0802200.1	"serine/threonine protein kinase, putative"	3873	1290	154276
PBANKA_1324200.1	"conserved Plasmodium protein, unknown function"	3933	1310	154293
PBANKA_1425900.1	"conserved Plasmodium protein, unknown function"	3912	1303	154421
PBANKA_0513100.1	"conserved Plasmodium protein, unknown function"	3858	1285	154466
PBANKA_1441300.1	"RAP protein, putative"	3888	1295	154479
PBANKA_1212500.1	"conserved Plasmodium protein, unknown function"	3963	1320	154549
PBANKA_0940100.1	"protein kinase, putative"	3942	1313	154561
PBANKA_0802400.1	"phosphopantetheine adenylyltransferase, putative"	3819	1272	154727
PBANKA_0305100.1	serine repeat antigen 1	4221	1406	154916
PBANKA_1132300.1	"conserved Plasmodium protein, unknown function"	3918	1305	154957
PBANKA_0210000.1	"vacuolar protein sorting-associated protein 51, putative"	3891	1296	155041
PBANKA_0206800.1	"conserved Plasmodium protein, unknown function"	3939	1312	155554
PBANKA_0827400.1	"conserved Plasmodium protein, unknown function"	3957	1318	155930
PBANKA_0942700.1	"chromatin remodeling protein, putative"	3993	1330	156008
PBANKA_1108300.1	"pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative"	3996	1331	156053
PBANKA_0901100.1	"serine/threonine protein kinase, putative"	3948	1315	156111
PBANKA_1306900.1	"serine/threonine protein kinase, putative"	3978	1325	156120
