Stanway_2019_B1-MG_data_normalized,,,,,
Gene ID,gene_name,gene_product,Log2-FC,SD,Power
PBANKA_0709400,,"conserved Plasmodium protein, unknown function",0.351,1.466,no power
PBANKA_0938100,,"conserved Plasmodium protein, unknown function",-0.031,1.466,no power
PBANKA_0928200,,"conserved Plasmodium protein, unknown function",-0.031,1.466,no power
PBANKA_1400081,,BIR protein,-0.324,0.738,no power
PBANKA_0934000,,"conserved Plasmodium protein, unknown function",-1.011,1.466,no power
PBANKA_1428400,,"conserved Plasmodium protein, unknown function",-0.031,1.466,no power
PBANKA_1421200,,"conserved Plasmodium protein, unknown function",-0.570,1.455,no power
PBANKA_1416400,,"conserved Plasmodium protein, unknown function",-0.031,1.466,no power
PBANKA_0403400,,"conserved Plasmodium protein, unknown function",-0.031,1.466,no power
PBANKA_0520400,DYN2,"dynamin-like protein, putative",1.186,0.271,not reduced
PBANKA_1333900,,"conserved Plasmodium protein, unknown function",-0.475,0.276,no power
PBANKA_0706300,,"GTP-binding protein, putative",-0.721,1.421,no power
PBANKA_0207900,,"conserved Plasmodium protein, unknown function",0.737,1.033,no power
PBANKA_0929400,MLC-B,"myosin light chain B, putative",2.358,1.100,not reduced
PBANKA_1426800,,"conserved Plasmodium protein, unknown function",0.180,0.362,not reduced
PBANKA_0806000,,"ubiquitin-conjugating enzyme, putative",-4.610,0.160,reduced
PBANKA_0102200,TEX1,"trophozoite exported protein 1, putative",-3.661,0.135,reduced
PBANKA_0824300,,"conserved Plasmodium protein, unknown function",-5.215,0.294,reduced
PBANKA_0712300,,"zinc finger protein, putative",-6.039,0.222,reduced
PBANKA_1244000,,"cell cycle regulator protein, putative",-2.112,0.102,reduced
PBANKA_1222000,SAP18,"histone deacetylase complex subunit SAP18, putative",-2.943,0.075,reduced
PBANKA_1235900,,"conserved Plasmodium protein, unknown function",-6.859,0.233,reduced
PBANKA_1346100,,"conserved Plasmodium protein, unknown function",-4.819,0.282,reduced
PBANKA_1331800,DER1-1,"derlin-1, putative",-3.582,0.133,reduced
PBANKA_1211600,,"conserved Plasmodium protein, unknown function",-2.406,0.248,reduced
PBANKA_1233400,WDR26,"WD repeat-containing protein 26, putative",-5.405,0.287,reduced
PBANKA_1348100,,"conserved Plasmodium protein, unknown function",-3.704,0.222,reduced
PBANKA_1464600,,"conserved Plasmodium protein, unknown function",-2.548,0.100,reduced
PBANKA_0309600,,SRR1-like protein,-4.359,0.255,reduced
PBANKA_0106000,,"G-protein associated signal transduction protein, putative",-3.887,0.535,reduced
PBANKA_0707400,,"RNA-binding protein, putative",-4.005,0.248,reduced
PBANKA_1339300,,"conserved Plasmodium protein, unknown function",-4.663,0.936,reduced
PBANKA_0517700,,"ubiquitin-conjugating enzyme, putative",-4.919,0.136,reduced
PBANKA_1426900,DBP1,"ATP-dependent RNA helicase DBP1, putative",-5.559,0.278,reduced
PBANKA_1104800,ALP2b,"actin-like protein, putative",-2.923,0.284,reduced
PBANKA_0823000,,"ubiquitin-like protein, putative",-2.823,0.273,reduced
PBANKA_1217700,DOZI,ATP-dependent RNA helicase DDX6,-4.467,0.187,reduced
PBANKA_1425900,,"conserved Plasmodium protein, unknown function",-3.970,0.235,reduced
PBANKA_0105300,,"conserved Plasmodium protein, unknown function",-3.862,0.170,reduced
PBANKA_1203800,,"DnaJ protein, putative",-2.720,0.153,reduced
PBANKA_0720200,,"conserved Plasmodium protein, unknown function",-3.776,0.361,reduced
PBANKA_1359400,,"conserved Plasmodium protein, unknown function",-10.759,0.920,reduced
PBANKA_1038700,,"conserved Plasmodium protein, unknown function",-4.390,0.428,reduced
PBANKA_0719600,,memo-like protein,-4.109,0.189,reduced
PBANKA_0907800,,"conserved Plasmodium protein, unknown function",-1.662,0.093,reduced
PBANKA_0713500,,"asparagine-rich antigen, putative, fragment",-2.996,0.457,reduced
PBANKA_0819400,,"conserved Plasmodium protein, unknown function",-9.628,0.342,reduced
PBANKA_1005000,,"conserved Plasmodium protein, unknown function",-2.486,0.165,reduced
PBANKA_0418300,RER1,"protein RER1, putative",-2.069,0.117,reduced
PBANKA_0910200,PPM2,protein phosphatase PPM2,-3.952,0.431,reduced
PBANKA_0409300,,"phosphatidylinositol 3- and 4-kinase, putative",-6.980,0.510,reduced
PBANKA_1345800,,"RNA-binding protein, putative",-2.863,0.316,reduced
PBANKA_0618400,,"conserved Plasmodium protein, unknown function",-2.926,0.137,reduced
PBANKA_1131800,,"histone-lysine N-methyltransferase, putative",-3.199,0.141,reduced
PBANKA_0717000,,"ATPase, putative",-3.587,0.306,reduced
PBANKA_0826400,,"zinc binding protein (Yippee), putative",-5.839,0.437,reduced
PBANKA_0100800,,"conserved Plasmodium protein, unknown function",-10.780,0.268,reduced
PBANKA_1427200,PPM5,protein phosphatase PPM5,-2.552,0.577,reduced
PBANKA_1114400,,"kinase, putative",-8.704,0.554,reduced
PBANKA_1360300,ALBA4,"DNA/RNA-binding protein Alba 4, putative",-4.048,0.551,reduced
PBANKA_1108200,,"conserved Plasmodium protein, unknown function",-1.748,0.146,reduced
PBANKA_0827900,,"conserved Plasmodium protein, unknown function",-1.942,0.177,reduced
PBANKA_1032700,CELF2,"CUGBP Elav-like family member 2, putative",-1.830,0.216,reduced
PBANKA_1132800,,"conserved Plasmodium protein, unknown function",-4.239,0.596,reduced
PBANKA_1143200,,"conserved Plasmodium protein, unknown function",-11.944,0.418,reduced
PBANKA_1459100,,"conserved Plasmodium protein, unknown function",-9.078,0.284,reduced
PBANKA_1115200,,"conserved Plasmodium protein, unknown function",-9.692,0.308,reduced
PBANKA_0715400,,"conserved Plasmodium protein, unknown function",-1.626,0.155,reduced
PBANKA_1347200,,"nucleotidyltransferase, putative",-2.511,0.165,reduced
PBANKA_1040000,,"conserved Plasmodium protein, unknown function",-3.985,0.684,reduced
PBANKA_0807100,,stomatin-like protein,-3.522,0.547,reduced
PBANKA_1428100,,"asparagine-rich antigen, putative",-2.127,0.083,reduced
PBANKA_1205300,,"conserved Plasmodium protein, unknown function",-2.117,0.181,reduced
PBANKA_0413200,,"conserved Plasmodium protein, unknown function",-3.178,0.442,reduced
PBANKA_1204400,ALBA3,"DNA/RNA-binding protein Alba 3, putative",-3.033,0.823,reduced
PBANKA_0314800,,"conserved Plasmodium membrane protein, unknown function",-1.803,0.129,reduced
PBANKA_0516600,LRR1,leucine-rich repeat protein,-1.841,0.104,reduced
PBANKA_1020700,,"conserved Plasmodium protein, unknown function",-1.984,0.120,reduced
PBANKA_0104900,,"RNA-binding protein, putative",-4.026,0.810,reduced
PBANKA_1316700,,"conserved Plasmodium protein, unknown function",-10.648,0.641,reduced
PBANKA_0305800,,"conserved Plasmodium protein, unknown function",-2.200,0.411,reduced
PBANKA_0409800,,"conserved protein, unknown function",-2.083,0.085,reduced
PBANKA_0910100,,"beta-catenin-like protein 1, putative",-4.217,0.383,reduced
PBANKA_0912800,,"conserved Plasmodium protein, unknown function",-2.875,0.137,reduced
PBANKA_0709900,,"conserved Plasmodium protein, unknown function",-5.885,1.400,reduced
PBANKA_1431500,,"conserved Plasmodium protein, unknown function",-2.721,0.619,reduced
PBANKA_0828000,,"zinc finger protein, putative",-10.407,0.520,reduced
PBANKA_0835100,,"conserved Plasmodium protein, unknown function",-1.952,0.173,reduced
PBANKA_0103300,,"conserved Plasmodium protein, unknown function",-4.391,0.443,reduced
PBANKA_0312200,,"conserved Plasmodium protein, unknown function",-8.380,0.518,reduced
PBANKA_0314900,,"conserved Plasmodium protein, unknown function",-6.285,0.292,reduced
PBANKA_1363200,,"ubiquitin-activating enzyme E1, putative",-4.714,0.610,reduced
PBANKA_0911300,,"UVB-resistance protein UVR8 homologue, putative",-3.357,0.163,reduced
PBANKA_1233800,SLBP,"histone RNA hairpin-binding protein, putative",-2.957,0.214,reduced
PBANKA_0612300,,"conserved Plasmodium protein, unknown function",-4.519,0.768,reduced
PBANKA_0917100,,"conserved Plasmodium protein, unknown function",-1.912,0.171,reduced
PBANKA_0829400,,"conserved Plasmodium protein, unknown function",-2.553,0.178,reduced
PBANKA_1208700,SDH4,"succinate dehydrogenase subunit 4, putative",-4.011,1.029,reduced
PBANKA_0407500,,"N2227-like protein, putative",-9.166,0.484,reduced
PBANKA_0608700,,"conserved Plasmodium protein, unknown function",-4.264,0.551,reduced
PBANKA_0618800,DBP7,"ATP-dependent RNA helicase DBP7, putative",-6.073,0.509,reduced
PBANKA_0516300,,"DER1-like protein, putative",-4.615,0.150,reduced
PBANKA_1450700,,"clustered-asparagine-rich protein, putative",-2.708,0.587,reduced
PBANKA_1316300,,"conserved Plasmodium protein, unknown function",-7.188,0.734,reduced
PBANKA_0716600,,"conserved Plasmodium protein, unknown function",-4.175,0.128,reduced
PBANKA_1018000,,"conserved Plasmodium protein, unknown function",-5.936,1.299,reduced
PBANKA_0514400,,"conserved Plasmodium protein, unknown function",-7.007,0.813,reduced
PBANKA_0301700,,"5'-3' exonuclease, putative",-2.864,0.501,reduced
PBANKA_0717200,,"conserved Plasmodium protein, unknown function",-5.720,1.437,reduced
PBANKA_0904300,TIC20,"apicoplast import protein Tic20, putative",-5.505,1.030,reduced
PBANKA_1005300,,"conserved Plasmodium protein, unknown function",-0.601,0.149,not reduced
PBANKA_1115100,,"amino acid transporter, putative",-11.748,0.546,reduced
PBANKA_0717600,GAK,"GTP:AMP phosphotransferase, putative",-6.655,0.825,reduced
PBANKA_0302600,,"3'-5' exonuclease, putative",-0.489,0.069,not reduced
PBANKA_1034100,,"DNA repair helicase, putative",-0.912,0.269,no power
PBANKA_1210100,RAD23,"DNA repair protein RAD23, putative",-0.728,0.129,not reduced
PBANKA_1143400,,"NADH-cytochrome b5 reductase, putative",0.357,0.086,not reduced
PBANKA_0701300,,"prolyl 4-hydroxylase subunit alpha, putative",-0.591,0.164,not reduced
PBANKA_0816000,NDH2,type II NADH:ubiquinone oxidoreductase,-1.552,0.103,reduced
PBANKA_0512200,PPO,"protoporphyrinogen oxidase, putative",-0.280,0.104,not reduced
PBANKA_1317200,,"pyridine nucleotide transhydrogenase, putative",0.379,0.082,not reduced
PBANKA_1459800,,"conserved Plasmodium protein, unknown function",-1.210,0.936,no power
PBANKA_0511400,nPrx,"merozoite capping protein 1, putative",0.625,0.287,not reduced
PBANKA_0906600,CPO,"coproporphyrinogen-III oxidase, putative",0.973,0.362,not reduced
PBANKA_1134200,,"pyrroline-5-carboxylate reductase, putative",-0.281,0.227,not reduced
PBANKA_0821700,,"inosine-5'-monophosphate dehydrogenase, putative",-1.634,0.155,reduced
PBANKA_1122400,SOD2,"superoxide dismutase [Fe], putative",1.513,0.457,not reduced
PBANKA_1422700,FeSOD,"superoxide dismutase [Fe], putative",-1.195,0.110,no power
PBANKA_0819700,,"dihydrouridine synthase, putative",-0.607,0.105,not reduced
PBANKA_1033600,,"tRNA-dihydrouridine synthase, putative",-0.031,0.120,not reduced
PBANKA_1015200,DPH2,"diphthamide biosynthesis protein 2, putative",-6.259,0.539,reduced
PBANKA_0105900,UROD,"uroporphyrinogen III decarboxylase, putative",0.336,0.156,not reduced
PBANKA_0204200,,"tubulin-specific chaperone a, putative",-1.128,0.260,no power
PBANKA_1328900,,"potassium channel, putative",-0.055,0.222,not reduced
PBANKA_0309800,,"Leu/Phe-tRNA protein transferase, putative",-0.019,1.877,no power
PBANKA_0407200,YVH1,dual specificity protein phosphatase,-2.327,1.355,no power
PBANKA_1441600,ATX3,"ataxin-3, putative",-0.654,1.040,no power
PBANKA_0416800,,"ubiquitin specific protease, putative",-1.258,0.088,reduced
PBANKA_1242000,USP14,"ubiquitin carboxyl-terminal hydrolase 14, putative",-0.326,0.153,not reduced
PBANKA_1231500,,"ubiquitin carboxyl-terminal hydrolase 2, putative",-0.969,0.268,no power
PBANKA_0616100,,"prefoldin subunit 3, putative",-1.374,0.255,no power
PBANKA_0920100,,"cochaperone prefoldin complex subunit, putative",-1.155,0.320,no power
PBANKA_0416900,,"prefoldin subunit 4, putative",0.000,0.115,not reduced
PBANKA_1127800,,"DnaJ protein, putative",-2.184,0.091,reduced
PBANKA_0821000,,"chaperone protein, putative",-1.423,0.242,no power
PBANKA_1216500,CYP19A,"peptidyl-prolyl cis-trans isomerase, putative",-2.085,0.925,no power
PBANKA_1109800,CYP87,"peptidyl-prolyl cis-trans isomerase, putative",-3.056,2.947,no power
PBANKA_1225800,CYP24,"peptidyl-prolyl cis-trans isomerase, putative",-0.780,1.040,no power
PBANKA_1020200,CYP52,"peptidyl-prolyl cis-trans isomerase, putative",-0.527,0.064,not reduced
PBANKA_0805700,HSP90,"heat shock protein 90, putative",-1.064,3.251,no power
PBANKA_1426000,CARM1,"histone-arginine methyltransferase CARM1, putative",-1.664,0.248,reduced
PBANKA_1018400,PRMT1,"protein arginine N-methyltransferase 1, putative",-2.814,0.154,reduced
PBANKA_1352600,,"serine/threonine protein kinase, putative",-0.132,0.881,no power
PBANKA_1013300,MAPK1,mitogen-activated protein kinase 1,-0.087,0.820,no power
PBANKA_1318000,KIN,"serine/threonine protein kinase KIN, putative",-0.848,0.509,no power
PBANKA_1225000,,"serine/threonine protein kinase, FIKK family",0.689,3.251,no power
PBANKA_0802200,,"serine/threonine protein kinase, putative",-1.636,0.943,no power
PBANKA_1301500,,"protein kinase, putative",-1.617,1.455,no power
PBANKA_1126900,PK4,eukaryotic translation initiation factor 2-alpha kinase,-1.090,0.330,no power
PBANKA_0308500,TKL1,"tyrosine kinase-like protein, putative",-0.168,0.201,not reduced
PBANKA_1019800,,"calcium-dependent protein kinase, putative",-0.300,0.106,not reduced
PBANKA_1016200,,"protein kinase, putative",-0.001,0.176,not reduced
PBANKA_1421600,,"calcium/calmodulin-dependent protein kinase, putative",0.506,0.097,not reduced
PBANKA_1413600,,"serine/threonine protein kinase, putative",-0.587,0.073,not reduced
PBANKA_0616700,NEK4,NIMA related kinase 4,-1.111,0.071,no power
PBANKA_0827100,,"protein kinase, putative",-0.919,0.085,no power
PBANKA_0408200,CDPK3,calcium-dependent protein kinase 3,-0.534,0.307,no power
PBANKA_1103200,,"protein kinase, putative",-0.597,0.140,not reduced
PBANKA_0409400,PKRP,"protein kinase, putative",-0.431,0.167,not reduced
PBANKA_0925500,CDPK6,calcium-dependent protein kinase 6,-0.191,0.167,not reduced
PBANKA_0927000,TKL2,"tyrosine kinase-like protein, putative",-0.098,0.098,not reduced
PBANKA_1306900,SRPK2,"serine/threonine protein kinase, putative",0.043,0.059,not reduced
PBANKA_0829600,,"serine/threonine protein kinase, putative",0.179,0.624,no power
PBANKA_0205800,IK2,"serine/threonine protein kinase, putative",-0.031,1.466,no power
PBANKA_1122700,TKL4,"tyrosine kinase-like protein, putative",-0.414,1.466,no power
PBANKA_0410400,GSK3,glycogen synthase kinase 3,-3.133,0.142,reduced
PBANKA_0940100,,"protein kinase, putative",-2.240,0.260,reduced
PBANKA_1460500,,"serine/threonine protein kinase, putative",-2.486,0.285,reduced
PBANKA_1305200,,"serine/threonine protein kinase, putative",-2.094,0.112,reduced
PBANKA_0615200,CDPK4,calcium-dependent protein kinase 4,-2.903,0.100,reduced
PBANKA_0933700,MAPK2,mitogen-activated protein kinase 2,-1.763,0.057,reduced
PBANKA_1362100,TKL3,"tyrosine kinase-like protein, putative",-2.685,0.194,reduced
PBANKA_0401100,SRPK1,"serine/threonine protein kinase, putative",-5.912,0.970,reduced
PBANKA_1463400,,"AP-3 complex subunit sigma, putative",-0.289,3.251,no power
PBANKA_0804900,,"E3 ubiquitin-protein ligase, putative",-2.161,0.318,reduced
PBANKA_0704100,UBE4B,"ubiquitin conjugation factor E4 B, putative",-7.301,0.640,reduced
PBANKA_1309900,LAP,"M17 leucyl aminopeptidase, putative",-1.093,0.778,no power
PBANKA_1002400,DPAP3,"dipeptidyl aminopeptidase 3, putative",-1.546,0.309,no power
PBANKA_0304800,SERA4,serine repeat antigen 4,-1.653,0.278,reduced
PBANKA_1131400,MCA1,metacaspase 1,-2.289,0.124,reduced
PBANKA_1106900,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_0304700,SERA5,serine repeat antigen 5,-0.776,0.654,no power
PBANKA_1026500,MCA3,metacaspase-like protein,0.709,3.248,no power
PBANKA_1203900,,"DnaJ protein, putative",-1.275,3.248,no power
PBANKA_1460700,DPAP2,dipeptidyl aminopeptidase 2,-0.253,0.117,not reduced
PBANKA_1404100,,"membrane integral peptidase, M50 family, putative",-0.155,0.097,not reduced
PBANKA_0305100,SERA1,serine repeat antigen 1,0.043,0.133,not reduced
PBANKA_0517600,,plasmepsin VII,-0.398,0.364,no power
PBANKA_0209700,,"zinc-carboxypeptidase, putative",-0.236,0.063,not reduced
PBANKA_1302300,,metacaspase-like protein,-1.034,0.218,no power
PBANKA_1213700,METAP1b,"methionine aminopeptidase 1b, putative",-0.587,0.204,not reduced
PBANKA_1449000,,"aspartyl protease, putative",-0.324,0.129,not reduced
PBANKA_0305000,SERA2,serine repeat antigen 2,-0.174,0.078,not reduced
PBANKA_0833100,M18AAP,"M18 aspartyl aminopeptidase, putative",-0.446,0.060,not reduced
PBANKA_1321700,BP1,berghepain-1,-1.349,0.182,no power
PBANKA_1034400,PM4,plasmepsin IV,-2.168,0.180,reduced
PBANKA_0832600,,"proteasome subunit beta type-6, putative",0.528,0.296,not reduced
PBANKA_1226500,,"proteasome subunit beta type-4, putative",-7.042,1.111,reduced
PBANKA_1449800,VP2,"inorganic pyrophosphatase, putative",-0.289,0.274,not reduced
PBANKA_1320500,VP1,"V-type H(+)-translocating pyrophosphatase, putative",-0.031,1.466,no power
PBANKA_1111000,,"RNA pseudouridylate synthase, putative",1.006,0.555,not reduced
PBANKA_0214200,,"tRNA pseudouridine synthase D, putative",-0.318,0.068,not reduced
PBANKA_1039800,,"conserved Plasmodium protein, unknown function",-0.047,0.386,not reduced
PBANKA_0315900,,"pseudouridine synthase, putative",-0.109,0.054,not reduced
PBANKA_0518800,,"tRNA pseudouridine synthase D, putative",-0.595,0.256,no power
PBANKA_1231100,,"tRNA pseudouridine synthase, putative",2.294,0.780,not reduced
PBANKA_0829700,GK,"guanylate kinase, putative",-3.168,0.976,reduced
PBANKA_0513600,ADA,"adenosine deaminase, putative",0.188,0.225,not reduced
PBANKA_1210800,HGPRT,"hypoxanthine-guanine phosphoribosyltransferase, putative",-1.079,0.350,no power
PBANKA_1120200,PDX1,"pyridoxine biosynthesis protein PDX1, putative",-0.279,0.266,not reduced
PBANKA_1241000,ARF-GAP,"ADP-ribosylation factor GTPase-activating protein, putative",-0.370,1.285,no power
PBANKA_0104300,,"cyclin dependent kinase binding protein, putative",0.006,0.533,no power
PBANKA_1441400,PCNA2,"proliferating cell nuclear antigen 2, putative",-0.449,0.098,not reduced
PBANKA_0109200,SPT5,"transcription elongation factor SPT5, putative",-1.043,0.473,no power
PBANKA_1232800,,"conserved Plasmodium protein, unknown function",-0.006,0.169,not reduced
PBANKA_0417400,,"GTPase-activating protein, putative",-2.837,0.849,reduced
PBANKA_1106300,,"GTPase-activating protein, putative",-1.356,1.026,no power
PBANKA_1418500,,"TBC domain protein, putative",-0.006,0.059,not reduced
PBANKA_0808700,,"GTPase-activating protein, putative",-0.031,1.466,no power
PBANKA_1351200,,"conserved Plasmodium protein, unknown function",-1.301,0.191,no power
PBANKA_0109500,ApiAP2,"transcription factor with AP2 domain(s), putative",-2.273,0.493,reduced
PBANKA_0905900,AP2-O,transcription factor with AP2 domain(s),-1.954,0.178,reduced
PBANKA_0214400,AP2-L,transcription factor with AP2 domain(s),0.122,0.715,no power
PBANKA_1329800,AP2-Sp,transcription factor with AP2 domain(s),5.635,0.667,not reduced
PBANKA_0928400,,"conserved Plasmodium protein, unknown function",0.006,0.132,not reduced
PBANKA_1319700,ApiAP2,"transcription factor with AP2 domain(s), putative",-0.217,0.105,not reduced
PBANKA_0932300,ApiAP2,"transcription factor with AP2 domain(s), putative",-0.541,0.291,no power
PBANKA_1437500,AP2-G,transcription factor with AP2 domain(s),-10.785,0.416,reduced
PBANKA_1231600,ApiAP2,"transcription factor with AP2 domain(s), putative",-2.543,0.228,reduced
PBANKA_1034300,AP2-G2,transcription factor with AP2 domain(s),-11.539,0.813,reduced
PBANKA_0406700,,"activator of Hsp90 ATPase, putative",-0.469,0.049,not reduced
PBANKA_0816200,,"ribonuclease H2 subunit C, putative",-0.031,1.466,no power
PBANKA_1145500,,"conserved Plasmodium protein, unknown function",-2.343,0.191,reduced
PBANKA_1121100,,"radical SAM protein, putative",-0.993,0.411,no power
PBANKA_1123100,,"conserved Plasmodium protein, unknown function",-1.156,0.400,no power
PBANKA_1015300,,"rRNA (adenosine-2'-O-)-methyltransferase, putative",-0.327,1.666,no power
PBANKA_1016500,,"WW domain-binding protein 11, putative",-1.094,1.466,no power
PBANKA_1036200,RBM8A,"RNA-binding protein 8A, putative",-0.749,1.896,no power
PBANKA_0315000,,"apicoplast RNA methyltransferase precursor, putative",-0.239,0.055,not reduced
PBANKA_1404800,,"SAM dependent methyltransferase, putative",-0.960,0.233,no power
PBANKA_1039300,SR140,"U2 snRNP-associated SURP motif-containing protein, putative",-0.972,1.466,no power
PBANKA_1037600,RRP5,"rRNA biogenesis protein RRP5, putative",-6.286,0.531,reduced
PBANKA_0502300,,"tRNA pseudouridine synthase, putative",-0.598,0.074,not reduced
PBANKA_0619600,,"PelOta protein homologue, putative",-0.329,0.095,not reduced
PBANKA_0831900,,"nucleolar protein Nop52, putative",-1.267,2.578,no power
PBANKA_1201600,,"ribosome-binding factor A, putative",-0.650,1.896,no power
PBANKA_1121400,,"RNA methyltransferase, putative",-0.317,0.073,not reduced
PBANKA_1036400,BOP1,"ribosome biogenesis protein BOP1, putative",-0.031,1.466,no power
PBANKA_1235600,SAHH,"adenosylhomocysteinase, putative",-1.776,0.169,reduced
PBANKA_0603800,SEPSECS,"O-phosphoseryl-tRNA(Sec) selenium transferase, putative",-0.117,0.082,not reduced
PBANKA_1205400,,"rhoGAP GTPase, putative",-0.575,0.093,not reduced
PBANKA_0800600,,"centrin, putative",-0.070,0.140,not reduced
PBANKA_1116200,,"ras GTPAse, putative",-0.830,0.137,no power
PBANKA_1414700,,"ADP-ribosylation factor, putative",-0.724,0.386,no power
PBANKA_1120800,SRP68,"signal recognition particle subunit SRP68, putative",-1.162,0.711,no power
PBANKA_1459200,ALAS,delta-aminolevulinic acid synthetase,-0.054,0.089,not reduced
PBANKA_0608000,PBGD,"porphobilinogen deaminase, putative",-0.502,0.169,not reduced
PBANKA_1460600,,"conserved Plasmodium protein, unknown function",-0.092,0.051,not reduced
PBANKA_0825200,TPK,"thiamine pyrophosphokinase, putative",-1.336,0.136,reduced
PBANKA_0904400,TFG2,"transcription initiation factor IIF subunit beta, putative",-0.595,0.177,not reduced
PBANKA_0312400,RPB2,"DNA-directed RNA polymerase II subunit RPB2, putative",-1.614,0.178,reduced
PBANKA_0304200,,"DNA-directed RNA polymerase III subunit RPC10, putative",-0.031,1.466,no power
PBANKA_0938900,,"IWS1-like protein, putative",-2.943,0.126,reduced
PBANKA_1324000,,"60S ribosomal protein L29, putative",-1.236,0.566,no power
PBANKA_0110000,,"60S ribosomal protein L39, putative",-0.907,0.311,no power
PBANKA_0616000,,"mitochondrial ribosomal protein S8 precursor, putative",-1.079,0.137,no power
PBANKA_1409400,,"mitochondrial ribosomal protein S15 precursor, putative",-4.695,0.792,reduced
PBANKA_1133400,EF-1alpha,elongation factor 1-alpha,-0.732,0.078,not reduced
PBANKA_0814200,,"elongation factor 1-beta, putative",-0.696,0.060,not reduced
PBANKA_0809000,,"translation initiation factor SUI1, putative",0.327,0.163,not reduced
PBANKA_1007300,,"peptide chain release factor 2, putative",-0.427,1.137,no power
PBANKA_1016100,,"peptide chain release factor 1, putative",-0.124,0.142,not reduced
PBANKA_0930400,ICT1,"peptidyl-tRNA hydrolase ICT1, putative",-1.323,0.141,reduced
PBANKA_0802600,,"peptide chain release factor, putative",-0.031,1.466,no power
PBANKA_0520200,,"ADP/ATP transporter on adenylate translocase, putative",0.175,0.777,no power
PBANKA_1016400,,"metabolite/drug transporter, putative",-2.164,0.469,reduced
PBANKA_1304700,,"major facilitator superfamily, putative",-0.851,2.325,no power
PBANKA_1443800,MRP2,multidrug resistance-associated protein 2,-1.900,3.173,no power
PBANKA_0112500,,"organic anion transporter, putative",-0.493,0.167,not reduced
PBANKA_1353300,ABCB5,"ABC transporter B family member 5, putative",-0.557,0.402,no power
PBANKA_0817000,,"sugar transporter, putative",-1.076,0.110,no power
PBANKA_1434000,,"phosphate translocator, putative",-1.091,0.083,no power
PBANKA_0401200,ABCB4,"ABC transporter B family member 4, putative",-0.449,0.085,not reduced
PBANKA_0205100,,"mitochondrial carrier protein, putative",-1.098,0.071,no power
PBANKA_1311700,MDR2,"multidrug resistance protein 2, putative",-0.413,0.073,not reduced
PBANKA_0820400,,"sugar transporter, putative",-0.183,0.257,not reduced
PBANKA_1413000,,"cop-coated vesicle membrane protein p24 precursor, putative",-0.299,0.853,no power
PBANKA_1427100,AQP2,"aquaporin, putative",0.357,0.131,not reduced
PBANKA_1348000,,"transmembrane protein Tmp21 homologue, putative",-1.008,0.298,no power
PBANKA_1116300,MQO,"malate:quinone oxidoreductase, putative",-1.776,0.086,reduced
PBANKA_1419100,,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative",-1.185,0.116,no power
PBANKA_0710100,KDH,"2-oxoglutarate dehydrogenase E1 component, putative",-1.733,0.102,reduced
PBANKA_1428800,,"iron-sulfur subunit of succinate dehydrogenase, putative",-1.548,0.124,reduced
PBANKA_1440000,,"isoleucine--tRNA ligase, putative",-0.584,1.144,no power
PBANKA_0606100,MiaA,"tRNA delta(2)-isopentenylpyrophosphate transferase, putative",0.380,0.162,not reduced
PBANKA_1357400,USB1,"U6 snRNA phosphodiesterase, putative",-2.533,1.889,no power
PBANKA_1239600,UFD1,"ubiquitin fusion degradation protein 1, putative",-0.294,0.142,not reduced
PBANKA_0930900,UCH54,"deubiquinating/deneddylating enzyme, putative",0.551,0.190,not reduced
PBANKA_0517800,,"Sec1 family protein, putative",-0.877,1.040,no power
PBANKA_1337200,,"protein transport protein SFT2, putative",-0.303,0.132,not reduced
PBANKA_1401700,,"SNARE protein, putative",-1.869,0.101,reduced
PBANKA_1110500,TCTP,histamine-releasing factor,-0.698,0.158,no power
PBANKA_1203700,UPF1,"regulator of nonsense transcripts 1, putative",-0.265,0.183,not reduced
PBANKA_1221000,RAD14,"DNA repair protein RAD14, putative",-0.312,0.066,not reduced
PBANKA_0303700,RAD2,"DNA repair protein RAD2, putative",-0.200,0.124,not reduced
PBANKA_1101300,,"conserved rodent malaria protein, unknown function",-0.166,0.414,not reduced
PBANKA_0722000,,"phosphatidylinositol 4-kinase, putative",-1.843,0.122,reduced
PBANKA_0918600,,"phosphatidylinositol-4-phosphate 5-kinase, putative",-1.350,0.086,reduced
PBANKA_0506900,,"phospholipid scramblase, putative",-0.570,0.106,not reduced
PBANKA_0715600,RPT3,"26S protease regulatory subunit 6B, putative",-1.211,0.656,no power
PBANKA_1206600,,"26S protease regulatory subunit 4, putative",0.803,0.778,not reduced
PBANKA_0824000,,"OTU-like cysteine protease, putative",-0.003,0.126,not reduced
PBANKA_1126200,DJ1,"protein DJ-1, putative",-0.600,0.088,not reduced
PBANKA_0107300,CCT6,"T-complex protein 1 subunit zeta, putative",-4.179,1.333,reduced
PBANKA_0312600,DHHC11,"palmitoyltransferase, putative",-0.578,0.088,not reduced
PBANKA_0932100,DHHC9,palmitoyltransferase,-0.802,0.077,not reduced
PBANKA_0833300,DHHC6,"palmitoyltransferase, putative",0.016,0.114,not reduced
PBANKA_0834400,MAS1,"mitochondrial-processing peptidase subunit beta, putative",-1.147,1.151,no power
