GeneID,Old GeneID,Description,3D7 Gam Specific Transcription,3D7 Gam Specific Stabilization,Gametocyte transcription,Gametocyte stabilzation,mRNA Control,"Stage I-II transcript (Silvestrini et al., 2005)","Gametocyte transcript (Young et al., 2005)","Stage I-II transcript (Eksi et al., 2005)","Stage I-II transcript (Eksi et al., 2012)","Transcript downregulated in DOZI/CITH KO (Mair et al., 2010)","Stage II transcript enriched 2-fold (Lopez-Barragan et al., 2011)","Stage V tranascript enriched 2-fold (Lopez-Barragan et al., 2011)","Ookinete transcript enriched 20-fold (Lopez-Barragan et al., 2011)","Gameotcyte-Ookinete transcript present (Lopez-Barragan et al., 2011)","Stage I-II transcript in HP1off (Brancucci et al., 2014)","Stage I-II peptide (Silvestrini et al., 2010)","Stage V peptide (Silvestrini et al., 2010)","Male-Female Gametocyte Peptide (Tao et al., 2014)","Male-Female Stage V Gametocyte Peptide (Tao et al., 2014)",Times previously identified,Identified in this study,Previously identified as enriched,NEW,,
PF3D7_0302200,PFC0110w,cytoadherence linked asexual protein 3.2 (CLAG3.2),n.d.,n.d.,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1400200,PF14_0002,rifin (RIF),n.d.,n.d.,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0414900,PFD0720w,"conserved ARM repeats protein, unknown function",-2.4533345,1.5796645,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1404700,PF14_0044,"conserved Plasmodium protein, unknown function",-0.6125665,1.538929,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0802600,MAL8P1.150,"adenylyl cyclase beta, putative (ACbeta)",-0.826767,1.3420025,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0418600,PFD0900w,"regulator of chromosome condensation, putative",0.109408,1.2970985,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1209400,PFL0470w,"conserved Plasmodium protein, unknown function",-0.852532,1.286399,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1116000,PF11_0168,rhoptry neck protein 4 (RON4),-2.7632255,1.2670225,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1468400,PF14_0652,"zinc finger protein, putative (D13)",-1.582678,1.253657,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0214900,PFB0680w,rhoptry neck protein 6 (RON6),-1.3122155,1.1719375,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1128900,PF11_0300,"conserved Plasmodium protein, unknown function",-3.119529,1.0788835,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0202100,PFB0105c,"Plasmodium exported protein (PHISTc), unknown function",0.558883,1.0527885,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1235200,PFL1700c,V-type K -independent H -translocating inorganic pyrophosphatase (VP2),-2.720927,1.047287,,√,stabilized,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1315300,PF13_0086,"conserved Plasmodium protein, unknown function",-2.1476025,0.979283,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1138400,PF11_0395,guanylyl cyclase (GCalpha),-1.801538,0.9282705,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1359700,MAL13P1.296,"conserved Plasmodium protein, unknown function",-1.6691565,0.897866,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1013800,PF10_0135,"conserved Plasmodium protein, unknown function",-0.4793335,0.893418,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1307900,MAL13P1.37,"tripartite motif protein, putative",-0.3014585,0.8666535,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1303700,MAL13P1.18,"conserved Plasmodium protein, unknown function",-0.9535195,0.863026,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1224200,PFL1165w,"conserved Plasmodium protein, unknown function",-1.259213,0.8600205,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1439500,PF14_0374,"CCAAT-binding transcription factor, putative",-2.9664375,0.842482,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1343800,MAL13P1.380,"conserved Plasmodium protein, unknown function",-1.125985,0.8416935,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0917300,PFI0845w,"conserved Plasmodium membrane protein, unknown function",-2.1416655,0.841132,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1117400,PF11_0180,"conserved Plasmodium protein, unknown function",-0.668465,0.8002155,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1463900,PF14_0607,"conserved Plasmodium membrane protein, unknown function",-3.1948305,0.7986945,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1013400,PF10_0131,"conserved Plasmodium protein, unknown function",-0.4361695,0.7852135,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0407700,PFD0380c,"conserved Plasmodium protein, unknown function",-0.1883935,0.7816755,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1440400,PF14_0383,"conserved Plasmodium protein, unknown function",-0.3867085,0.734728,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1312800,PF13_0072,"conserved Plasmodium protein, unknown function",-1.1484515,0.7056785,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1141800,PF11_0429,"phd finger protein, putative",-2.0391895,0.7049465,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1356100,PF13_0299,"conserved Plasmodium protein, unknown function",-0.9560205,0.686998,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0405200,PFD0255w,ag-1 blood stage membrane protein homologue (PfMAg-1),-1.3711325,0.644363,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1328500,PF13_0153,"alpha/beta-hydrolase, putative",-1.744195,0.630882,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1349300,PF13_0258,serine/threonine protein kinase (TKL3),-1.856842,0.607596,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1452000,PF14_0495,rhoptry neck protein 2 (RON2),-2.254756,0.558546,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1023800,PF10_0231,"conserved Plasmodium protein, unknown function",1.474514,0.5451615,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0104100,PFA0205w,"conserved Plasmodium membrane protein, unknown function",-0.2282315,0.538841,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0204100,PFB0190c,"conserved Plasmodium protein, unknown function",-1.682634,0.527123,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1143000,PF11_0441a,"alpha/beta hydrolase, putative",-1.0125165,0.520757,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0404500,PFD0215c,6-cysteine protein (P52),0.2358505,0.515296,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1114800,PF11_0157,"glycerol-3-phosphate dehydrogenase, putative",-0.0696155,0.5108975,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1209300,PFL0465c,zinc finger transcription factor (KROX1),-1.216213,0.4664885,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0319000,PFC0840w,"P-type ATPase, putative (ATPase7)",-1.286917,0.4621115,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1450500,PF14_0480,"conserved Plasmodium protein, unknown function",-1.1819075,0.450623,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1458300,PF14_0556,"conserved Plasmodium protein, unknown function",-1.483108,0.4378865,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0704800,PF07_0019,"conserved Plasmodium protein, unknown function",-1.185914,0.4282565,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1227300,PFL1320w,"conserved Plasmodium protein, unknown function",-0.4361455,0.4249945,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0530300,PFE1515w,"conserved Plasmodium membrane protein, unknown function",-0.485074,0.4243255,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1313100,MAL13P1.66,"conserved Plasmodium protein, unknown function",1.7929765,0.408664,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0404800,PFD0235c,"conserved Plasmodium protein, unknown function",0.099385,0.402387,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0910000,PFI0485c,"SET domain protein, putative (SET4)",0.4258335,0.401951,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1322600,PF13_0127,"conserved Plasmodium protein, unknown function",-0.168545,0.398517,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0408100,PFD0400w,"conserved Plasmodium protein, unknown function",-0.6961405,0.393912,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0404900,PFD0240c,6-cysteine protein (P41),0.2612335,0.385926,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1140000,PF11_0411,"carbonic anhydrase, putative",1.179356,0.356712,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1431900,PF14_0298,"conserved Plasmodium membrane protein, unknown function",-0.2897555,0.3196225,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1335900,PF13_0201,sporozoite surface protein 2 (TRAP),0.896111,0.306831,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1448500,PF14_0463,chloroquine resistance marker protein (CRMP),-0.061194,0.299057,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1316600,MAL13P1.86,choline-phosphate cytidylyltransferase (CCT),-0.5960105,0.277855,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1147000,PF11_0480,sporozoite asparagine-rich protein (SLARP),0.8140425,0.277654,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1455600,PF14_0530,"ferlin, putative",-0.0103295,0.2656375,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1131800,PF11_0327,oxysterol-binding protein-related protein 2,-1.0940545,0.25556,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1249600,PFL2380c,leucine-rich repeat protein (LRR12),0.2220245,0.254718,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0304000,PFC0180c,"inner membrane complex protein 1a, putative (IMC1a)",0.6247545,0.244728,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1446400,PF14_0441,pyruvate dehydrogenase E1 beta subunit (pdhB),0.40807,0.2256555,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1138700,PF11_0398,"conserved Plasmodium protein, unknown function",-0.773806,0.1847105,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1131600,PF11_0326,"conserved Plasmodium protein, unknown function",1.2166995,0.184564,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_1465100,PF14_0618,"conserved Plasmodium protein, unknown function",-0.809879,0.1814165,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1442600,PF14_0404,"TRAP-like protein,sporozoite-specific transmembrane protein S6 (TREP)",1.59765,0.1755495,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0706100,MAL7P1.203,"conserved Plasmodium protein, unknown function",-1.1121665,0.1743195,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0815900,PF08_0066,lipoamide dehydrogenase (aLipDH),1.992279,0.173765,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0415700,PFD0760c,"conserved Plasmodium protein, unknown function",-0.661107,0.1726675,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0507800,PFE0385w,"conserved Plasmodium protein, unknown function",-0.466671,0.1608435,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1452300,PF14_0498,DER1-like protein (Der1-1),-0.03633,0.138193,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0504400,PFE0215w,"ATP-dependent helicase, putative",-0.662098,0.135525,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1228800,PFL1395c,"conserved Plasmodium protein, unknown function",-0.3103455,0.1310015,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1004200,PF10_0045,"conserved Plasmodium membrane protein, unknown function",-0.6046865,0.129613,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0625300,PFF1225c,"DNA polymerase 1, putative",0.398843,0.1213795,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1456000,PF14_0533,transcription factor with AP2 domain(s) (ApiAP2),0.3893955,0.0905165,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1428500,PF14_0264,"protein kinase, putative",-0.1458915,0.0902965,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0715600,PF07_0062,"GTP-binding translation elongation factor tu family protein, putative",0.2620605,0.085823,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1126100,PF11_0271,"ThiF family protein, putative",-0.926462,0.080702,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0413900,PFD0680c,"ubiquitin carboxyl-terminal hydrolase a, putative",0.5383595,0.0680485,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1239500,PFL1915w,DNA gyrase subunit B (GyrB),0.715082,0.0610375,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1130500,PF11_0315,"conserved Plasmodium protein, unknown function",0.004431,0.0288025,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0626300,PFF1275c,3-oxoacyl-acyl-carrier protein synthase I/II (FabB/FabF),1.5745865,0.0238535,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0511600,PFE0575c,"conserved Plasmodium protein, unknown function",0.3330065,0.020566,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1206000,PFL0300c,"protein phosphatase, putative",0.935935,0.004627,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1202900,PFL0145c,high mobility group protein (HMGB1),0.6229835,-0.000175,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1248700,PFL2335w,"conserved Plasmodium protein, unknown function",-0.3562205,-0.010841,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1307700,PF13_0041,"conserved Plasmodium protein, unknown function",-1.5062195,-0.0136375,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1441600,PF14_0395,"acid cluster protein 33 homologue, putative",-1.6508675,-0.0232795,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1411300,PF14_0111,"conserved Plasmodium protein, unknown function",-0.676528,-0.0251565,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0520500,PFE1030c,"phosphomethylpyrimidine kinase, putative",-1.0948785,-0.026955,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0724100,MAL7P1.129,"conserved Plasmodium protein, unknown function",0.041506,-0.028364,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1353300,PF13_0277,"conserved Plasmodium protein, unknown function",-0.538495,-0.0393335,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1246300,PFL2220w,"conserved Plasmodium protein, unknown function",-1.71288,-0.0511065,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1103400,PF11_0044,"iron-sulfur assembly protein, sufD, putative",-0.9856265,-0.067068,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1302500,MAL13P1.13,"conserved Plasmodium protein, unknown function",-0.945631,-0.0689865,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1032700,PF10_0319,"conserved Plasmodium protein, unknown function",-0.3645525,-0.0710915,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1349500,MAL13P1.249,"conserved Plasmodium protein, unknown function",-0.029876,-0.0721225,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0707200,MAL7P1.207,"conserved Plasmodium protein, unknown function",-1.353784,-0.073371,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0615800,PFF0765c,"conserved Plasmodium protein, unknown function",-0.1447285,-0.0741125,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0416900,PFD0815c,"conserved Plasmodium protein, unknown function",-0.0805075,-0.08095,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1450900,PF14_0484,"acetyl-CoA acetyltransferase, putative",0.7565805,-0.08348,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0305200,PFC0235w,"conserved Plasmodium protein, unknown function",-0.5307395,-0.086144,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0515300,PFE0765w,phosphatidylinositol 3-kinase (PI3K),-0.1367005,-0.0869895,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0318600,PFC0825c,"cleavage and polyadenylation specifity factor, putative",-0.071986,-0.0887135,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1407600,PF14_0073,"conserved Plasmodium protein, unknown function",0.8920695,-0.0902595,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1205800,PFL0290w,"conserved Plasmodium protein, unknown function",-0.0685055,-0.092403,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0321600,PFC0955w,"ATP-dependent RNA helicase, putative",-0.6248435,-0.0944,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1418000,PF14_0178,"ubiquitin fusion degradation protein UFD1, putative (UFD1)",-0.590042,-0.0976655,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0616000,PFF0775w,pyridoxine kinase (PdxK),-0.7645355,-0.0981005,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1417600,PF14_0175,"conserved Plasmodium protein, unknown function",-0.812023,-0.1018295,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1235300,PFL1705w,"CCR4-NOT transcription complex subunit 4, putative (NOT4)",-0.1238025,-0.107074,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1411400,PF14_0112,plastid replication-repair enzyme (PREX),-0.2887565,-0.1108455,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1462100,PF14_0591,"conserved Plasmodium protein, unknown function",-0.8573135,-0.1115235,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1426600,PF14_0245,"conserved Plasmodium protein, unknown function",-0.22762,-0.1132345,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1415500,PF14_0153,"conserved Plasmodium membrane protein, unknown function",-0.2841555,-0.127515,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1034500,PF10_0335,"conserved Plasmodium protein, unknown function",-0.1081355,-0.129828,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0217600,PFB0820c,"conserved Plasmodium protein, unknown function",-0.336908,-0.1317295,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1032800,PF10_0320a,leucine-rich repeat protein (LRR1),-0.340219,-0.1392035,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1233000,PFL1590c,elongation factor G (EF-G),-0.402757,-0.1405585,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1451200,PF14_0487,"conserved Plasmodium protein, unknown function",-1.6066615,-0.1451985,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0730300,PF07_0126,transcription factor with AP2 domain(s) (ApiAP2),0.630887,-0.16118,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1245800,PFL2195w,"clathrin coat assembly protein AP180, putative",-0.6819325,-0.174133,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1115200,PF11_0160,"SET domain protein, putative (SET7)",-0.4364905,-0.177876,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1228400,PFL1375w,"conserved Plasmodium protein, unknown function",-0.3511895,-0.182413,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1464500,PF14_0613,"conserved Plasmodium membrane protein, unknown function",-0.9354675,-0.1842475,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1420000,PF14_0194,"splicing factor 3B subunit 4, putative (SF3B4)",-1.2175785,-0.184451,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0509300,PFE0460c,"conserved Plasmodium protein, unknown function",0.363405,-0.191213,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1433400,PF14_0315,"conserved Plasmodium membrane protein, unknown function",-0.6114525,-0.194895,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1445600,PF14_0433,erythrocyte membrane-like protein,-0.1106745,-0.199908,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0420000,PFD0970c,"zinc finger protein, putative",-0.1594005,-0.2027765,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0829000,MAL8P1.11,"conserved Plasmodium membrane protein, unknown function",-0.767412,-0.2085085,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1439300,PF14_0372,"conserved Plasmodium protein, unknown function",0.856297,-0.2085455,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1452600,PF14_0501,"conserved Plasmodium protein, unknown function",-0.6020705,-0.2197625,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1418200,PF14_0180,"conserved Plasmodium protein, unknown function",0.106242,-0.235777,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1234600,PFL1670c,"conserved Plasmodium protein, unknown function",0.051376,-0.237331,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1220800,PFL1000c,"conserved Plasmodium protein, unknown function",0.889509,-0.2453385,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0525200,PFE1255w,"conserved Plasmodium protein, unknown function",-0.4097265,-0.2460615,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1317600,MAL13P1.90,"conserved Plasmodium protein, unknown function",-0.4255315,-0.247216,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0519500,PFE0980c,"carbon catabolite repressor protein 4, putative (CCR4)",0.2351485,-0.251814,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1303400,PF13_0018,"conserved Plasmodium protein, unknown function",-0.262029,-0.255608,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1205400,PFL0270c,"conserved Plasmodium protein, unknown function",-2.0611345,-0.2777375,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1440200,PF14_0382,"stromal-processing peptidase, putative (SPP)",-0.248854,-0.285535,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0933000,PFI1600w,"mRNA processing protein, putative",-0.853153,-0.28886,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0705500,PF07_0024,"inositol-phosphate phosphatase, putative",-2.1605345,-0.2954315,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1323900,PF13_0136,"conserved Plasmodium protein, unknown function",0.649703,-0.2971095,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1010300,PF10_0100,"succinate dehydrogenase subunit 4, putative (SDH4)",-0.9590155,-0.301523,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1326400,MAL13P1.144,"translation initiation factor EIF-2B gamma subunit, putative",-1.2361535,-0.3016695,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1019000,PF10_0183,"eukaryotic translation initiation factor subunit eIF2A, putative",-1.300587,-0.3058375,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1308400,MAL13P1.39,"conserved Plasmodium protein, unknown function",-0.656954,-0.3089215,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0909400,PFI0455w,"exoribonuclease, putative",-0.7611425,-0.30962,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0721000,PF07_0086,"conserved Plasmodium membrane protein, unknown function",0.3233975,-0.3125005,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1128000.2,PF11_0291,"conserved Plasmodium protein, unknown function",-0.735903,-0.3248965,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0506800,PFE0335w,"conserved Plasmodium protein, unknown function",-0.878133,-0.3256265,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1018600,PF10_0179,"conserved Plasmodium protein, unknown function",-0.158303,-0.325971,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1026000,PF10_0257,"conserved Plasmodium protein, unknown function",0.167767,-0.3277055,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1414100,PF14_0139,"conserved Plasmodium protein, unknown function",-0.5683865,-0.331809,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1438400,PF14_0363,metacaspase-like protein (MCA2),-0.174879,-0.3387495,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1364900,MAL13P1.326,ferrochelatase (FC),0.6747145,-0.3411595,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1441800,PF14_0397,"SNF7 family protein, putative",-0.506051,-0.352803,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0906900,PFI0335w,"tubulin-specific chaperone, putative",-0.980871,-0.361002,,,,,,,,,,,,,,,√,,,1,NO,YES,,,
PF3D7_0723400,PF07_0097,"conserved Plasmodium protein, unknown function",-0.41278,-0.365596,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1359900,MAL13P1.298,"conserved Plasmodium membrane protein, unknown function",-1.262304,-0.366005,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1475600,PF14_0724,"bromodomain protein, putative",0.57402,-0.366939,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1008500,PF10_0082,"conserved Plasmodium membrane protein, unknown function",-1.6571545,-0.3676245,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0505100,PFE0250w,"conserved Plasmodium protein, unknown function",-0.6192055,-0.36763,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1237500,PFL1815c,"conserved Plasmodium protein, unknown function",-1.049797,-0.3697095,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0729500,PF07_0123,"mRNA (N6-adenosine)-methyltransferase, putative",-0.867223,-0.3713185,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_0602400,PFF0115c,elongation factor G (EF-G),0.2897005,-0.373088,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
PF3D7_1329600,PF13_0163,"conserved Plasmodium protein, unknown function",1.6107675,-0.3740945,√,,transcribed,,,,,,,,,√,,,,,,1,YES,YES,,,
PF3D7_0305500,PFC0245c,"conserved Plasmodium protein, unknown function",-0.3979645,-0.3783225,,,,,,,,,,,,√,,,,,,1,NO,YES,,,
